,width,height,intensity,num_lines_abs,num_shapes_abs,num_lines_unit,num_shapes_unit
0,7,7,1,27,111,0.5510204081632653,2.2653061224489797
1,7,7,2,69,445,1.4081632653061225,9.081632653061224
2,7,7,4,130,1690,2.6530612244897958,34.48979591836735
3,7,7,8,227,4628,4.63265306122449,94.44897959183673
4,7,7,16,436,15868,8.89795918367347,323.83673469387753
0,7,7,1,35,167,0.7142857142857143,3.4081632653061225
1,7,7,2,58,256,1.183673469387755,5.224489795918367
2,7,7,4,107,1169,2.183673469387755,23.857142857142858
3,7,7,8,184,3553,3.7551020408163267,72.51020408163265
4,7,7,16,483,20689,9.857142857142858,422.2244897959184
0,7,7,1,26,58,0.5306122448979592,1.183673469387755
1,7,7,2,51,289,1.0408163265306123,5.8979591836734695
2,7,7,4,111,1226,2.2653061224489797,25.020408163265305
3,7,7,8,240,5365,4.8979591836734695,109.48979591836735
4,7,7,16,438,16646,8.938775510204081,339.7142857142857
0,7,7,1,22,50,0.4489795918367347,1.0204081632653061
1,7,7,2,55,325,1.1224489795918366,6.63265306122449
2,7,7,4,122,1297,2.489795918367347,26.46938775510204
3,7,7,8,234,4624,4.775510204081633,94.36734693877551
4,7,7,16,455,18596,9.285714285714286,379.51020408163265
0,7,7,1,28,106,0.5714285714285714,2.163265306122449
1,7,7,2,53,281,1.0816326530612246,5.73469387755102
2,7,7,4,115,1057,2.3469387755102042,21.571428571428573
3,7,7,8,235,4620,4.795918367346939,94.28571428571429
4,7,7,16,449,19252,9.16326530612245,392.8979591836735
0,7,7,1,32,118,0.6530612244897959,2.4081632653061225
1,7,7,2,57,270,1.163265306122449,5.510204081632653
2,7,7,4,110,988,2.2448979591836733,20.163265306122447
3,7,7,8,197,2864,4.020408163265306,58.44897959183673
4,7,7,16,426,19152,8.693877551020408,390.85714285714283
0,7,7,1,31,81,0.6326530612244898,1.653061224489796
1,7,7,2,57,238,1.163265306122449,4.857142857142857
2,7,7,4,125,1431,2.5510204081632653,29.20408163265306
