,width,height,intensity,num_lines_abs,num_shapes_abs,num_lines_unit,num_shapes_unit
0,3,3,1,11,30,1.2222222222222223,3.3333333333333335
1,3,3,2,25,154,2.7777777777777777,17.11111111111111
2,3,3,4,47,521,5.222222222222222,57.888888888888886
3,3,3,8,108,2169,12.0,241.0
4,3,3,16,189,7745,21.0,860.5555555555555
0,3,3,1,18,83,2.0,9.222222222222221
1,3,3,2,30,224,3.3333333333333335,24.88888888888889
2,3,3,4,36,241,4.0,26.77777777777778
3,3,3,8,113,2788,12.555555555555555,309.77777777777777
4,3,3,16,182,6534,20.22222222222222,726.0
0,3,3,1,12,49,1.3333333333333333,5.444444444444445
1,3,3,2,24,90,2.6666666666666665,10.0
2,3,3,4,57,883,6.333333333333333,98.11111111111111
3,3,3,8,92,1715,10.222222222222221,190.55555555555554
4,3,3,16,199,7400,22.11111111111111,822.2222222222222
0,3,3,1,15,56,1.6666666666666667,6.222222222222222
1,3,3,2,19,87,2.111111111111111,9.666666666666666
2,3,3,4,46,477,5.111111111111111,53.0
3,3,3,8,103,2497,11.444444444444445,277.44444444444446
4,3,3,16,208,8636,23.11111111111111,959.5555555555555
0,3,3,1,13,51,1.4444444444444444,5.666666666666667
1,3,3,2,17,69,1.8888888888888888,7.666666666666667
2,3,3,4,33,274,3.6666666666666665,30.444444444444443
3,3,3,8,101,1910,11.222222222222221,212.22222222222223
4,3,3,16,201,8062,22.333333333333332,895.7777777777778
0,3,3,1,11,31,1.2222222222222223,3.4444444444444446
1,3,3,2,23,117,2.5555555555555554,13.0
2,3,3,4,65,878,7.222222222222222,97.55555555555556
3,3,3,8,85,1692,9.444444444444445,188.0
4,3,3,16,193,7376,21.444444444444443,819.5555555555555
0,3,3,1,10,21,1.1111111111111112,2.3333333333333335
1,3,3,2,39,347,4.333333333333333,38.55555555555556
2,3,3,4,46,491,5.111111111111111,54.55555555555556
3,3,3,8,84,1403,9.333333333333334,155.88888888888889
4,3,3,16,177,6372,19.666666666666668,708.0
0,3,3,1,9,25,1.0,2.7777777777777777
1,3,3,2,31,188,3.4444444444444446,20.88888888888889
2,3,3,4,54,512,6.0,56.888888888888886
3,3,3,8,96,2043,10.666666666666666,227.0
4,3,3,16,185,7032,20.555555555555557,781.3333333333334
0,3,3,1,11,43,1.2222222222222223,4.777777777777778
1,3,3,2,20,84,2.2222222222222223,9.333333333333334
2,3,3,4,46,548,5.111111111111111,60.888888888888886
3,3,3,8,101,2134,11.222222222222221,237.11111111111111
4,3,3,16,196,7317,21.77777777777778,813.0
0,3,3,1,12,30,1.3333333333333333,3.3333333333333335
1,3,3,2,17,71,1.8888888888888888,7.888888888888889
2,3,3,4,52,663,5.777777777777778,73.66666666666667
3,3,3,8,122,3220,13.555555555555555,357.77777777777777
