,width,height,intensity,num_lines_abs,num_shapes_abs,num_lines_unit,num_shapes_unit
0,4,4,1,15,47,0.9375,2.9375
1,4,4,2,33,256,2.0625,16.0
2,4,4,4,77,1310,4.8125,81.875
3,4,4,8,123,2898,7.6875,181.125
4,4,4,16,253,12156,15.8125,759.75
0,4,4,1,27,158,1.6875,9.875
1,4,4,2,31,196,1.9375,12.25
2,4,4,4,68,900,4.25,56.25
3,4,4,8,120,3072,7.5,192.0
4,4,4,16,240,10436,15.0,652.25
0,4,4,1,18,71,1.125,4.4375
1,4,4,2,42,389,2.625,24.3125
2,4,4,4,59,679,3.6875,42.4375
3,4,4,8,142,4258,8.875,266.125
4,4,4,16,249,11826,15.5625,739.125
0,4,4,1,11,30,0.6875,1.875
1,4,4,2,30,193,1.875,12.0625
2,4,4,4,70,1264,4.375,79.0
3,4,4,8,143,4180,8.9375,261.25
4,4,4,16,223,9024,13.9375,564.0
0,4,4,1,22,89,1.375,5.5625
1,4,4,2,30,170,1.875,10.625
2,4,4,4,74,994,4.625,62.125
3,4,4,8,117,2665,7.3125,166.5625
4,4,4,16,252,13563,15.75,847.6875
0,4,4,1,20,84,1.25,5.25
1,4,4,2,40,277,2.5,17.3125
2,4,4,4,68,899,4.25,56.1875
3,4,4,8,117,3045,7.3125,190.3125
4,4,4,16,265,12589,16.5625,786.8125
0,4,4,1,10,31,0.625,1.9375
1,4,4,2,41,341,2.5625,21.3125
2,4,4,4,63,881,3.9375,55.0625
3,4,4,8,142,3683,8.875,230.1875
4,4,4,16,233,10875,14.5625,679.6875
0,4,4,1,11,34,0.6875,2.125
1,4,4,2,26,184,1.625,11.5
2,4,4,4,67,820,4.1875,51.25
3,4,4,8,127,3033,7.9375,189.5625
4,4,4,16,256,12814,16.0,800.875
0,4,4,1,19,114,1.1875,7.125
1,4,4,2,25,125,1.5625,7.8125
2,4,4,4,63,629,3.9375,39.3125
3,4,4,8,121,2802,7.5625,175.125
4,4,4,16,274,14644,17.125,915.25
0,4,4,1,20,94,1.25,5.875
1,4,4,2,33,256,2.0625,16.0
2,4,4,4,66,907,4.125,56.6875
3,4,4,8,152,4485,9.5,280.3125
4,4,4,16,261,12906,16.3125,806.625
0,4,4,1,19,92,1.1875,5.75
1,4,4,2,38,317,2.375,19.8125
2,4,4,4,60,886,3.75,55.375
3,4,4,8,110,2605,6.875,162.8125
4,4,4,16,264,13456,16.5,841.0
0,4,4,1,19,88,1.1875,5.5
1,4,4,2,35,294,2.1875,18.375
2,4,4,4,76,1468,4.75,91.75
3,4,4,8,130,3281,8.125,205.0625
4,4,4,16,256,12655,16.0,790.9375
0,4,4,1,22,74,1.375,4.625
1,4,4,2,45,380,2.8125,23.75
2,4,4,4,62,708,3.875,44.25
3,4,4,8,146,4651,9.125,290.6875
4,4,4,16,257,11271,16.0625,704.4375
0,4,4,1,16,58,1.0,3.625
1,4,4,2,23,143,1.4375,8.9375
2,4,4,4,59,771,3.6875,48.1875
3,4,4,8,129,3158,8.0625,197.375
4,4,4,16,246,11906,15.375,744.125
0,4,4,1,13,44,0.8125,2.75
1,4,4,2,36,271,2.25,16.9375
2,4,4,4,62,743,3.875,46.4375
3,4,4,8,139,4037,8.6875,252.3125
4,4,4,16,240,11492,15.0,718.25
0,4,4,1,20,60,1.25,3.75
1,4,4,2,32,250,2.0,15.625
2,4,4,4,48,417,3.0,26.0625
3,4,4,8,123,2835,7.6875,177.1875
4,4,4,16,229,10080,14.3125,630.0
0,4,4,1,13,34,0.8125,2.125
1,4,4,2,31,178,1.9375,11.125
2,4,4,4,66,852,4.125,53.25
3,4,4,8,115,2354,7.1875,147.125
4,4,4,16,224,10050,14.0,628.125
0,4,4,1,23,150,1.4375,9.375
1,4,4,2,34,263,2.125,16.4375
2,4,4,4,72,1079,4.5,67.4375
3,4,4,8,116,2669,7.25,166.8125
4,4,4,16,271,15796,16.9375,987.25
0,4,4,1,16,68,1.0,4.25
1,4,4,2,44,427,2.75,26.6875
2,4,4,4,63,748,3.9375,46.75
3,4,4,8,147,3984,9.1875,249.0
4,4,4,16,241,12402,15.0625,775.125
0,4,4,1,13,45,0.8125,2.8125
1,4,4,2,30,226,1.875,14.125
2,4,4,4,58,653,3.625,40.8125
3,4,4,8,141,3770,8.8125,235.625
4,4,4,16,261,13740,16.3125,858.75
0,4,4,1,19,71,1.1875,4.4375
1,4,4,2,38,338,2.375,21.125
2,4,4,4,57,620,3.5625,38.75
3,4,4,8,113,2539,7.0625,158.6875
4,4,4,16,272,14740,17.0,921.25
0,4,4,1,20,91,1.25,5.6875
1,4,4,2,28,148,1.75,9.25
2,4,4,4,66,924,4.125,57.75
3,4,4,8,115,2705,7.1875,169.0625
4,4,4,16,256,13533,16.0,845.8125
0,4,4,1,17,86,1.0625,5.375
1,4,4,2,28,225,1.75,14.0625
2,4,4,4,65,873,4.0625,54.5625
3,4,4,8,121,3111,7.5625,194.4375
4,4,4,16,232,10338,14.5,646.125
0,4,4,1,9,33,0.5625,2.0625
1,4,4,2,39,317,2.4375,19.8125
2,4,4,4,53,600,3.3125,37.5
3,4,4,8,116,2724,7.25,170.25
4,4,4,16,269,14184,16.8125,886.5
0,4,4,1,16,54,1.0,3.375
1,4,4,2,31,203,1.9375,12.6875
2,4,4,4,63,815,3.9375,50.9375
3,4,4,8,119,3093,7.4375,193.3125
4,4,4,16,271,16227,16.9375,1014.1875
0,4,4,1,17,84,1.0625,5.25
1,4,4,2,36,294,2.25,18.375
2,4,4,4,52,504,3.25,31.5
3,4,4,8,137,3729,8.5625,233.0625
4,4,4,16,223,9597,13.9375,599.8125
0,4,4,1,17,77,1.0625,4.8125
1,4,4,2,24,116,1.5,7.25
2,4,4,4,65,910,4.0625,56.875
3,4,4,8,102,1827,6.375,114.1875
4,4,4,16,245,12142,15.3125,758.875
0,4,4,1,14,31,0.875,1.9375
1,4,4,2,29,193,1.8125,12.0625
2,4,4,4,71,788,4.4375,49.25
3,4,4,8,117,2642,7.3125,165.125
4,4,4,16,254,13425,15.875,839.0625
0,4,4,1,17,71,1.0625,4.4375
1,4,4,2,26,160,1.625,10.0
2,4,4,4,59,729,3.6875,45.5625
3,4,4,8,114,2977,7.125,186.0625
4,4,4,16,227,10460,14.1875,653.75
0,4,4,1,25,133,1.5625,8.3125
