,width,height,intensity,num_lines_abs,num_shapes_abs,num_lines_unit,num_shapes_unit
0,9,9,1,39,327,0.48148148148148145,4.037037037037037
1,9,9,2,68,917,0.8395061728395061,11.320987654320987
2,9,9,4,141,3980,1.7407407407407407,49.135802469135804
3,9,9,8,274,15907,3.382716049382716,196.3827160493827
4,9,9,16,582,64881,7.185185185185185,801.0
0,9,9,1,30,247,0.37037037037037035,3.049382716049383
1,9,9,2,66,910,0.8148148148148148,11.234567901234568
2,9,9,4,156,4271,1.9259259259259258,52.72839506172839
3,9,9,8,305,18220,3.765432098765432,224.93827160493828
4,9,9,16,594,70883,7.333333333333333,875.0987654320987
0,9,9,1,36,240,0.4444444444444444,2.962962962962963
1,9,9,2,86,1521,1.0617283950617284,18.77777777777778
2,9,9,4,128,3667,1.5802469135802468,45.27160493827161
3,9,9,8,302,17920,3.728395061728395,221.23456790123456
4,9,9,16,555,57180,6.851851851851852,705.925925925926
0,9,9,1,34,242,0.41975308641975306,2.9876543209876543
1,9,9,2,64,955,0.7901234567901234,11.790123456790123
2,9,9,4,158,5266,1.9506172839506173,65.01234567901234
3,9,9,8,282,16318,3.4814814814814814,201.45679012345678
4,9,9,16,607,65416,7.493827160493828,807.604938271605
0,9,9,1,42,447,0.5185185185185185,5.518518518518518
1,9,9,2,63,851,0.7777777777777778,10.506172839506172
2,9,9,4,148,4374,1.8271604938271604,54.0
3,9,9,8,275,15390,3.3950617283950617,190.0
4,9,9,16,565,64378,6.9753086419753085,794.7901234567901
0,9,9,1,30,172,0.37037037037037035,2.123456790123457
1,9,9,2,58,731,0.7160493827160493,9.024691358024691
2,9,9,4,149,4358,1.8395061728395061,53.80246913580247
3,9,9,8,298,18216,3.6790123456790123,224.88888888888889
4,9,9,16,564,68427,6.962962962962963,844.7777777777778
0,9,9,1,54,773,0.6666666666666666,9.54320987654321
1,9,9,2,74,1170,0.9135802469135802,14.444444444444445
2,9,9,4,138,3318,1.7037037037037037,40.96296296296296
3,9,9,8,278,16217,3.432098765432099,200.20987654320987
4,9,9,16,580,63450,7.160493827160494,783.3333333333334
0,9,9,1,29,214,0.35802469135802467,2.6419753086419755
1,9,9,2,57,745,0.7037037037037037,9.197530864197532
2,9,9,4,145,4368,1.7901234567901234,53.925925925925924
3,9,9,8,298,17263,3.6790123456790123,213.12345679012347
4,9,9,16,560,62871,6.91358024691358,776.1851851851852
0,9,9,1,36,247,0.4444444444444444,3.049382716049383
1,9,9,2,48,514,0.5925925925925926,6.345679012345679
2,9,9,4,148,4357,1.8271604938271604,53.79012345679013
3,9,9,8,312,19597,3.8518518518518516,241.93827160493828
4,9,9,16,583,70566,7.197530864197531,871.1851851851852
0,9,9,1,33,279,0.4074074074074074,3.4444444444444446
1,9,9,2,60,617,0.7407407407407407,7.617283950617284
2,9,9,4,162,5261,2.0,64.95061728395062
3,9,9,8,269,14228,3.3209876543209877,175.65432098765433
4,9,9,16,602,68972,7.432098765432099,851.5061728395061
0,9,9,1,31,142,0.38271604938271603,1.7530864197530864
1,9,9,2,79,1439,0.9753086419753086,17.765432098765434
2,9,9,4,139,3840,1.7160493827160495,47.407407407407405
3,9,9,8,291,17631,3.5925925925925926,217.66666666666666
4,9,9,16,576,61130,7.111111111111111,754.6913580246913
0,9,9,1,25,172,0.30864197530864196,2.123456790123457
1,9,9,2,78,1283,0.9629629629629629,15.839506172839506
2,9,9,4,147,4968,1.8148148148148149,61.333333333333336
3,9,9,8,295,16284,3.6419753086419755,201.03703703703704
4,9,9,16,579,64874,7.148148148148148,800.9135802469136
0,9,9,1,41,365,0.5061728395061729,4.506172839506172
1,9,9,2,73,1229,0.9012345679012346,15.17283950617284
2,9,9,4,137,3360,1.691358024691358,41.48148148148148
3,9,9,8,271,14723,3.345679012345679,181.76543209876544
4,9,9,16,602,69700,7.432098765432099,860.4938271604939
0,9,9,1,36,245,0.4444444444444444,3.0246913580246915
1,9,9,2,80,1330,0.9876543209876543,16.419753086419753
2,9,9,4,115,2518,1.4197530864197532,31.08641975308642
3,9,9,8,271,15906,3.345679012345679,196.37037037037038
4,9,9,16,568,62684,7.012345679012346,773.8765432098766
0,9,9,1,34,286,0.41975308641975306,3.5308641975308643
1,9,9,2,58,685,0.7160493827160493,8.45679012345679
2,9,9,4,149,4237,1.8395061728395061,52.30864197530864
3,9,9,8,291,16748,3.5925925925925926,206.76543209876544
4,9,9,16,569,59518,7.0246913580246915,734.7901234567901
0,9,9,1,43,422,0.5308641975308642,5.209876543209877
1,9,9,2,66,870,0.8148148148148148,10.74074074074074
2,9,9,4,131,3462,1.617283950617284,42.74074074074074
3,9,9,8,313,21088,3.8641975308641974,260.34567901234567
4,9,9,16,574,66798,7.08641975308642,824.6666666666666
0,9,9,1,34,279,0.41975308641975306,3.4444444444444446
1,9,9,2,68,912,0.8395061728395061,11.25925925925926
2,9,9,4,156,5032,1.9259259259259258,62.123456790123456
3,9,9,8,288,15771,3.5555555555555554,194.7037037037037
4,9,9,16,615,76360,7.592592592592593,942.716049382716
0,9,9,1,28,179,0.345679012345679,2.2098765432098766
1,9,9,2,75,1205,0.9259259259259259,14.876543209876543
2,9,9,4,130,3790,1.6049382716049383,46.79012345679013
3,9,9,8,271,15118,3.345679012345679,186.64197530864197
4,9,9,16,574,60135,7.08641975308642,742.4074074074074
0,9,9,1,36,229,0.4444444444444444,2.8271604938271606
1,9,9,2,65,819,0.8024691358024691,10.11111111111111
2,9,9,4,133,3779,1.6419753086419753,46.65432098765432
3,9,9,8,289,16904,3.567901234567901,208.69135802469137
4,9,9,16,600,68641,7.407407407407407,847.4197530864197
0,9,9,1,37,370,0.4567901234567901,4.567901234567901
1,9,9,2,65,871,0.8024691358024691,10.753086419753087
2,9,9,4,157,5250,1.9382716049382716,64.81481481481481
3,9,9,8,264,12789,3.259259259259259,157.88888888888889
4,9,9,16,620,68391,7.654320987654321,844.3333333333334
0,9,9,1,35,214,0.43209876543209874,2.6419753086419755
1,9,9,2,80,1547,0.9876543209876543,19.098765432098766
2,9,9,4,144,4386,1.7777777777777777,54.148148148148145
3,9,9,8,306,19352,3.7777777777777777,238.91358024691357
4,9,9,16,587,65968,7.246913580246914,814.4197530864197
0,9,9,1,34,259,0.41975308641975306,3.197530864197531
1,9,9,2,78,1360,0.9629629629629629,16.790123456790123
2,9,9,4,131,3486,1.617283950617284,43.03703703703704
3,9,9,8,309,18110,3.814814814814815,223.58024691358025
4,9,9,16,580,70099,7.160493827160494,865.4197530864197
0,9,9,1,26,139,0.32098765432098764,1.7160493827160495
1,9,9,2,77,1237,0.9506172839506173,15.271604938271604
2,9,9,4,158,4970,1.9506172839506173,61.358024691358025
3,9,9,8,282,16437,3.4814814814814814,202.92592592592592
4,9,9,16,587,64243,7.246913580246914,793.1234567901234
0,9,9,1,30,205,0.37037037037037035,2.5308641975308643
1,9,9,2,65,905,0.8024691358024691,11.17283950617284
2,9,9,4,150,4831,1.8518518518518519,59.641975308641975
3,9,9,8,291,16794,3.5925925925925926,207.33333333333334
4,9,9,16,571,66578,7.049382716049383,821.9506172839506
0,9,9,1,39,396,0.48148148148148145,4.888888888888889
1,9,9,2,63,897,0.7777777777777778,11.074074074074074
2,9,9,4,141,3989,1.7407407407407407,49.24691358024691
3,9,9,8,277,15486,3.419753086419753,191.1851851851852
4,9,9,16,583,71163,7.197530864197531,878.5555555555555
0,9,9,1,36,314,0.4444444444444444,3.876543209876543
1,9,9,2,71,1213,0.8765432098765432,14.975308641975309
2,9,9,4,149,4510,1.8395061728395061,55.67901234567901
3,9,9,8,316,20937,3.9012345679012346,258.48148148148147
4,9,9,16,568,65850,7.012345679012346,812.9629629629629
0,9,9,1,30,202,0.37037037037037035,2.493827160493827
1,9,9,2,71,831,0.8765432098765432,10.25925925925926
2,9,9,4,148,4792,1.8271604938271604,59.160493827160494
3,9,9,8,267,13205,3.2962962962962963,163.02469135802468
4,9,9,16,569,63366,7.0246913580246915,782.2962962962963
0,9,9,1,39,353,0.48148148148148145,4.3580246913580245
1,9,9,2,73,1055,0.9012345679012346,13.024691358024691
2,9,9,4,134,3631,1.654320987654321,44.82716049382716
3,9,9,8,260,14146,3.2098765432098766,174.64197530864197
4,9,9,16,571,63651,7.049382716049383,785.8148148148148
0,9,9,1,38,290,0.4691358024691358,3.580246913580247
1,9,9,2,65,762,0.8024691358024691,9.407407407407407
2,9,9,4,154,4649,1.9012345679012346,57.39506172839506
3,9,9,8,309,16847,3.814814814814815,207.98765432098764
4,9,9,16,545,56047,6.728395061728395,691.9382716049382
0,9,9,1,36,225,0.4444444444444444,2.7777777777777777
1,9,9,2,88,1423,1.0864197530864197,17.567901234567902
2,9,9,4,128,3448,1.5802469135802468,42.5679012345679
3,9,9,8,283,14705,3.493827160493827,181.54320987654322
4,9,9,16,597,68772,7.37037037037037,849.0370370370371
0,9,9,1,37,328,0.4567901234567901,4.049382716049383
1,9,9,2,94,1795,1.1604938271604939,22.160493827160494
2,9,9,4,166,5435,2.049382716049383,67.09876543209876
3,9,9,8,299,17792,3.691358024691358,219.65432098765433
4,9,9,16,576,63914,7.111111111111111,789.0617283950618
0,9,9,1,34,205,0.41975308641975306,2.5308641975308643
1,9,9,2,78,1330,0.9629629629629629,16.419753086419753
2,9,9,4,135,3638,1.6666666666666667,44.91358024691358
3,9,9,8,299,15506,3.691358024691358,191.4320987654321
4,9,9,16,557,63922,6.8765432098765435,789.1604938271605
0,9,9,1,48,533,0.5925925925925926,6.580246913580247
1,9,9,2,82,1442,1.0123456790123457,17.80246913580247
2,9,9,4,147,4681,1.8148148148148149,57.79012345679013
3,9,9,8,287,15825,3.54320987654321,195.37037037037038
4,9,9,16,560,62387,6.91358024691358,770.2098765432099
0,9,9,1,39,372,0.48148148148148145,4.592592592592593
1,9,9,2,62,773,0.7654320987654321,9.54320987654321
2,9,9,4,144,4369,1.7777777777777777,53.93827160493827
3,9,9,8,279,15288,3.4444444444444446,188.74074074074073
4,9,9,16,585,63795,7.222222222222222,787.5925925925926
0,9,9,1,41,313,0.5061728395061729,3.8641975308641974
1,9,9,2,72,1130,0.8888888888888888,13.950617283950617
2,9,9,4,132,3581,1.6296296296296295,44.20987654320987
3,9,9,8,315,20844,3.888888888888889,257.3333333333333
4,9,9,16,580,69046,7.160493827160494,852.4197530864197
0,9,9,1,40,364,0.49382716049382713,4.493827160493828
1,9,9,2,71,1059,0.8765432098765432,13.074074074074074
2,9,9,4,135,4063,1.6666666666666667,50.160493827160494
3,9,9,8,296,18023,3.654320987654321,222.50617283950618
4,9,9,16,590,64012,7.283950617283951,790.2716049382716
0,9,9,1,40,290,0.49382716049382713,3.580246913580247
1,9,9,2,69,907,0.8518518518518519,11.197530864197532
2,9,9,4,154,5026,1.9012345679012346,62.04938271604938
3,9,9,8,280,14975,3.45679012345679,184.87654320987653
4,9,9,16,558,62254,6.888888888888889,768.5679012345679
0,9,9,1,25,171,0.30864197530864196,2.111111111111111
1,9,9,2,67,928,0.8271604938271605,11.45679012345679
2,9,9,4,139,3726,1.7160493827160495,46.0
3,9,9,8,271,14499,3.345679012345679,179.0
4,9,9,16,602,73037,7.432098765432099,901.6913580246913
0,9,9,1,34,302,0.41975308641975306,3.728395061728395
1,9,9,2,80,1442,0.9876543209876543,17.80246913580247
2,9,9,4,159,5665,1.962962962962963,69.93827160493827
3,9,9,8,273,15618,3.3703703703703702,192.8148148148148
4,9,9,16,568,61925,7.012345679012346,764.5061728395061
0,9,9,1,33,296,0.4074074074074074,3.654320987654321
1,9,9,2,73,938,0.9012345679012346,11.580246913580247
2,9,9,4,128,3406,1.5802469135802468,42.04938271604938
3,9,9,8,270,15487,3.3333333333333335,191.19753086419752
4,9,9,16,504,49645,6.222222222222222,612.9012345679013
0,9,9,1,37,246,0.4567901234567901,3.037037037037037
1,9,9,2,77,1109,0.9506172839506173,13.691358024691358
2,9,9,4,162,5034,2.0,62.148148148148145
3,9,9,8,285,14880,3.5185185185185186,183.7037037037037
4,9,9,16,600,73921,7.407407407407407,912.604938271605
0,9,9,1,45,455,0.5555555555555556,5.617283950617284
1,9,9,2,67,882,0.8271604938271605,10.88888888888889
2,9,9,4,129,2944,1.5925925925925926,36.34567901234568
3,9,9,8,310,18735,3.8271604938271606,231.2962962962963
4,9,9,16,554,58105,6.839506172839506,717.3456790123457
0,9,9,1,38,395,0.4691358024691358,4.8765432098765435
1,9,9,2,73,1037,0.9012345679012346,12.802469135802468
2,9,9,4,132,3384,1.6296296296296295,41.77777777777778
3,9,9,8,267,15178,3.2962962962962963,187.3827160493827
4,9,9,16,586,60750,7.234567901234568,750.0
0,9,9,1,28,156,0.345679012345679,1.9259259259259258
1,9,9,2,71,1046,0.8765432098765432,12.91358024691358
2,9,9,4,141,3968,1.7407407407407407,48.98765432098765
3,9,9,8,315,21009,3.888888888888889,259.3703703703704
4,9,9,16,620,76527,7.654320987654321,944.7777777777778
0,9,9,1,37,309,0.4567901234567901,3.814814814814815
1,9,9,2,56,631,0.691358024691358,7.790123456790123
2,9,9,4,136,4158,1.6790123456790123,51.333333333333336
3,9,9,8,296,18563,3.654320987654321,229.17283950617283
4,9,9,16,599,72173,7.395061728395062,891.0246913580247
0,9,9,1,37,281,0.4567901234567901,3.4691358024691357
1,9,9,2,85,1611,1.0493827160493827,19.88888888888889
2,9,9,4,139,3648,1.7160493827160495,45.03703703703704
3,9,9,8,283,15554,3.493827160493827,192.02469135802468
4,9,9,16,572,62388,7.061728395061729,770.2222222222222
0,9,9,1,42,353,0.5185185185185185,4.3580246913580245
1,9,9,2,66,884,0.8148148148148148,10.91358024691358
2,9,9,4,129,3780,1.5925925925925926,46.666666666666664
3,9,9,8,298,18035,3.6790123456790123,222.65432098765433
4,9,9,16,591,67246,7.296296296296297,830.1975308641976
0,9,9,1,30,163,0.37037037037037035,2.0123456790123457
1,9,9,2,80,1208,0.9876543209876543,14.91358024691358
2,9,9,4,140,3631,1.728395061728395,44.82716049382716
3,9,9,8,299,18726,3.691358024691358,231.1851851851852
4,9,9,16,569,63224,7.0246913580246915,780.5432098765432
0,9,9,1,30,148,0.37037037037037035,1.8271604938271604
1,9,9,2,74,1149,0.9135802469135802,14.185185185185185
2,9,9,4,138,3823,1.7037037037037037,47.19753086419753
3,9,9,8,290,16966,3.580246913580247,209.45679012345678
4,9,9,16,557,59287,6.8765432098765435,731.9382716049382
0,9,9,1,31,169,0.38271604938271603,2.0864197530864197
1,9,9,2,58,750,0.7160493827160493,9.25925925925926
2,9,9,4,150,4485,1.8518518518518519,55.370370370370374
3,9,9,8,298,18414,3.6790123456790123,227.33333333333334
4,9,9,16,573,64241,7.074074074074074,793.0987654320987
0,9,9,1,29,198,0.35802469135802467,2.4444444444444446
1,9,9,2,53,636,0.654320987654321,7.851851851851852
2,9,9,4,147,4581,1.8148148148148149,56.55555555555556
3,9,9,8,305,18592,3.765432098765432,229.53086419753086
4,9,9,16,543,58335,6.703703703703703,720.1851851851852
0,9,9,1,41,424,0.5061728395061729,5.234567901234568
1,9,9,2,79,1195,0.9753086419753086,14.753086419753087
2,9,9,4,140,3834,1.728395061728395,47.333333333333336
3,9,9,8,293,16926,3.617283950617284,208.96296296296296
4,9,9,16,577,65390,7.1234567901234565,807.283950617284
0,9,9,1,45,490,0.5555555555555556,6.049382716049383
1,9,9,2,65,932,0.8024691358024691,11.506172839506172
2,9,9,4,153,4957,1.8888888888888888,61.19753086419753
3,9,9,8,288,14532,3.5555555555555554,179.40740740740742
4,9,9,16,577,64959,7.1234567901234565,801.9629629629629
0,9,9,1,41,298,0.5061728395061729,3.6790123456790123
1,9,9,2,62,803,0.7654320987654321,9.91358024691358
2,9,9,4,144,4263,1.7777777777777777,52.629629629629626
3,9,9,8,300,19129,3.7037037037037037,236.1604938271605
4,9,9,16,565,66112,6.9753086419753085,816.1975308641976
0,9,9,1,36,294,0.4444444444444444,3.6296296296296298
