,width,height,intensity,num_lines_abs,num_shapes_abs,num_lines_unit,num_shapes_unit
0,8,8,1,27,168,0.421875,2.625
1,8,8,2,61,754,0.953125,11.78125
2,8,8,4,130,3172,2.03125,49.5625
3,8,8,8,250,13031,3.90625,203.609375
4,8,8,16,461,41430,7.203125,647.34375
0,8,8,1,32,233,0.5,3.640625
1,8,8,2,80,1212,1.25,18.9375
2,8,8,4,130,3295,2.03125,51.484375
3,8,8,8,275,15323,4.296875,239.421875
4,8,8,16,525,53930,8.203125,842.65625
0,8,8,1,34,255,0.53125,3.984375
1,8,8,2,61,892,0.953125,13.9375
2,8,8,4,116,3058,1.8125,47.78125
3,8,8,8,232,10373,3.625,162.078125
4,8,8,16,567,64965,8.859375,1015.078125
0,8,8,1,31,192,0.484375,3.0
1,8,8,2,62,846,0.96875,13.21875
2,8,8,4,152,4895,2.375,76.484375
3,8,8,8,268,14158,4.1875,221.21875
4,8,8,16,493,53063,7.703125,829.109375
0,8,8,1,27,150,0.421875,2.34375
1,8,8,2,44,508,0.6875,7.9375
2,8,8,4,128,2723,2.0,42.546875
3,8,8,8,253,11721,3.953125,183.140625
4,8,8,16,510,51187,7.96875,799.796875
0,8,8,1,28,235,0.4375,3.671875
1,8,8,2,83,1583,1.296875,24.734375
2,8,8,4,159,5496,2.484375,85.875
3,8,8,8,264,13177,4.125,205.890625
4,8,8,16,527,54834,8.234375,856.78125
0,8,8,1,32,233,0.5,3.640625
1,8,8,2,57,646,0.890625,10.09375
2,8,8,4,125,3415,1.953125,53.359375
3,8,8,8,264,13706,4.125,214.15625
4,8,8,16,521,52825,8.140625,825.390625
0,8,8,1,38,262,0.59375,4.09375
1,8,8,2,64,697,1.0,10.890625
2,8,8,4,128,3415,2.0,53.359375
3,8,8,8,273,15091,4.265625,235.796875
4,8,8,16,498,49398,7.78125,771.84375
0,8,8,1,40,311,0.625,4.859375
1,8,8,2,72,1118,1.125,17.46875
2,8,8,4,129,3494,2.015625,54.59375
3,8,8,8,243,11155,3.796875,174.296875
4,8,8,16,489,46706,7.640625,729.78125
0,8,8,1,35,291,0.546875,4.546875
1,8,8,2,75,1212,1.171875,18.9375
2,8,8,4,140,4228,2.1875,66.0625
3,8,8,8,242,11104,3.78125,173.5
4,8,8,16,515,51926,8.046875,811.34375
0,8,8,1,33,265,0.515625,4.140625
1,8,8,2,70,1104,1.09375,17.25
2,8,8,4,124,2887,1.9375,45.109375
3,8,8,8,261,13158,4.078125,205.59375
4,8,8,16,505,54029,7.890625,844.203125
0,8,8,1,28,132,0.4375,2.0625
1,8,8,2,58,725,0.90625,11.328125
2,8,8,4,127,3067,1.984375,47.921875
3,8,8,8,234,10923,3.65625,170.671875
4,8,8,16,473,45143,7.390625,705.359375
0,8,8,1,26,134,0.40625,2.09375
1,8,8,2,72,1048,1.125,16.375
2,8,8,4,113,2363,1.765625,36.921875
3,8,8,8,243,11791,3.796875,184.234375
4,8,8,16,493,52434,7.703125,819.28125
0,8,8,1,36,277,0.5625,4.328125
1,8,8,2,66,945,1.03125,14.765625
2,8,8,4,128,3723,2.0,58.171875
3,8,8,8,256,13263,4.0,207.234375
4,8,8,16,483,48197,7.546875,753.078125
0,8,8,1,28,218,0.4375,3.40625
1,8,8,2,56,726,0.875,11.34375
2,8,8,4,114,2509,1.78125,39.203125
3,8,8,8,259,13268,4.046875,207.3125
4,8,8,16,507,49197,7.921875,768.703125
0,8,8,1,35,249,0.546875,3.890625
1,8,8,2,67,895,1.046875,13.984375
2,8,8,4,139,3455,2.171875,53.984375
3,8,8,8,277,14999,4.328125,234.359375
4,8,8,16,532,58581,8.3125,915.328125
0,8,8,1,36,322,0.5625,5.03125
1,8,8,2,57,742,0.890625,11.59375
2,8,8,4,151,3993,2.359375,62.390625
3,8,8,8,250,12173,3.90625,190.203125
4,8,8,16,531,54580,8.296875,852.8125
0,8,8,1,19,112,0.296875,1.75
1,8,8,2,67,878,1.046875,13.71875
2,8,8,4,116,2703,1.8125,42.234375
3,8,8,8,254,12874,3.96875,201.15625
4,8,8,16,530,58011,8.28125,906.421875
0,8,8,1,34,277,0.53125,4.328125
1,8,8,2,61,876,0.953125,13.6875
2,8,8,4,121,3458,1.890625,54.03125
3,8,8,8,286,16243,4.46875,253.796875
4,8,8,16,525,54857,8.203125,857.140625
0,8,8,1,40,350,0.625,5.46875
1,8,8,2,66,861,1.03125,13.453125
2,8,8,4,134,3330,2.09375,52.03125
3,8,8,8,240,11246,3.75,175.71875
4,8,8,16,523,54746,8.171875,855.40625
0,8,8,1,40,338,0.625,5.28125
1,8,8,2,57,598,0.890625,9.34375
2,8,8,4,138,4101,2.15625,64.078125
3,8,8,8,262,13398,4.09375,209.34375
4,8,8,16,557,56556,8.703125,883.6875
0,8,8,1,40,387,0.625,6.046875
1,8,8,2,51,607,0.796875,9.484375
2,8,8,4,128,3304,2.0,51.625
3,8,8,8,257,13434,4.015625,209.90625
4,8,8,16,464,41204,7.25,643.8125
0,8,8,1,32,262,0.5,4.09375
1,8,8,2,59,730,0.921875,11.40625
2,8,8,4,113,2713,1.765625,42.390625
3,8,8,8,246,11999,3.84375,187.484375
4,8,8,16,527,56499,8.234375,882.796875
0,8,8,1,33,248,0.515625,3.875
1,8,8,2,77,1261,1.203125,19.703125
2,8,8,4,134,3135,2.09375,48.984375
3,8,8,8,258,13882,4.03125,216.90625
4,8,8,16,512,51554,8.0,805.53125
0,8,8,1,38,251,0.59375,3.921875
1,8,8,2,61,725,0.953125,11.328125
2,8,8,4,122,3194,1.90625,49.90625
3,8,8,8,270,15808,4.21875,247.0
4,8,8,16,518,54607,8.09375,853.234375
0,8,8,1,27,192,0.421875,3.0
1,8,8,2,69,1023,1.078125,15.984375
2,8,8,4,115,2651,1.796875,41.421875
3,8,8,8,228,10441,3.5625,163.140625
4,8,8,16,530,56838,8.28125,888.09375
0,8,8,1,40,335,0.625,5.234375
1,8,8,2,73,1303,1.140625,20.359375
2,8,8,4,154,4899,2.40625,76.546875
3,8,8,8,266,15102,4.15625,235.96875
4,8,8,16,507,46605,7.921875,728.203125
0,8,8,1,37,299,0.578125,4.671875
1,8,8,2,63,890,0.984375,13.90625
2,8,8,4,114,3149,1.78125,49.203125
3,8,8,8,252,14158,3.9375,221.21875
4,8,8,16,495,50258,7.734375,785.28125
0,8,8,1,31,164,0.484375,2.5625
1,8,8,2,43,354,0.671875,5.53125
2,8,8,4,139,4453,2.171875,69.578125
3,8,8,8,242,11486,3.78125,179.46875
4,8,8,16,497,45876,7.765625,716.8125
0,8,8,1,26,161,0.40625,2.515625
1,8,8,2,61,805,0.953125,12.578125
2,8,8,4,111,2744,1.734375,42.875
3,8,8,8,261,13229,4.078125,206.703125
4,8,8,16,540,59966,8.4375,936.96875
0,8,8,1,31,216,0.484375,3.375
1,8,8,2,68,793,1.0625,12.390625
2,8,8,4,133,3916,2.078125,61.1875
3,8,8,8,263,14301,4.109375,223.453125
4,8,8,16,504,51243,7.875,800.671875
0,8,8,1,23,109,0.359375,1.703125
1,8,8,2,66,870,1.03125,13.59375
2,8,8,4,138,4199,2.15625,65.609375
3,8,8,8,283,15079,4.421875,235.609375
4,8,8,16,483,46411,7.546875,725.171875
0,8,8,1,35,247,0.546875,3.859375
