,width,height,intensity,num_lines_abs,num_shapes_abs,num_lines_unit,num_shapes_unit
0,2,2,1,4,8,1.0,2.0
1,2,2,2,25,111,6.25,27.75
2,2,2,4,39,297,9.75,74.25
3,2,2,8,58,702,14.5,175.5
4,2,2,16,126,2893,31.5,723.25
0,2,2,1,5,9,1.25,2.25
1,2,2,2,12,35,3.0,8.75
2,2,2,4,41,378,10.25,94.5
3,2,2,8,57,587,14.25,146.75
4,2,2,16,115,2743,28.75,685.75
0,2,2,1,6,17,1.5,4.25
1,2,2,2,18,85,4.5,21.25
2,2,2,4,36,255,9.0,63.75
3,2,2,8,69,1052,17.25,263.0
4,2,2,16,127,3419,31.75,854.75
0,2,2,1,8,21,2.0,5.25
1,2,2,2,11,33,2.75,8.25
2,2,2,4,31,277,7.75,69.25
3,2,2,8,65,688,16.25,172.0
4,2,2,16,135,3563,33.75,890.75
0,2,2,1,6,17,1.5,4.25
1,2,2,2,17,55,4.25,13.75
2,2,2,4,34,246,8.5,61.5
3,2,2,8,61,684,15.25,171.0
4,2,2,16,120,2773,30.0,693.25
0,2,2,1,8,20,2.0,5.0
1,2,2,2,19,66,4.75,16.5
2,2,2,4,33,219,8.25,54.75
3,2,2,8,69,965,17.25,241.25
4,2,2,16,116,2579,29.0,644.75
0,2,2,1,5,10,1.25,2.5
1,2,2,2,16,51,4.0,12.75
2,2,2,4,34,266,8.5,66.5
3,2,2,8,72,1141,18.0,285.25
4,2,2,16,131,3259,32.75,814.75
0,2,2,1,11,26,2.75,6.5
1,2,2,2,21,101,5.25,25.25
2,2,2,4,28,186,7.0,46.5
3,2,2,8,73,804,18.25,201.0
4,2,2,16,124,3329,31.0,832.25
0,2,2,1,6,12,1.5,3.0
1,2,2,2,18,91,4.5,22.75
2,2,2,4,33,249,8.25,62.25
3,2,2,8,68,1020,17.0,255.0
4,2,2,16,131,3392,32.75,848.0
0,2,2,1,8,20,2.0,5.0
1,2,2,2,15,50,3.75,12.5
2,2,2,4,32,252,8.0,63.0
3,2,2,8,56,670,14.0,167.5
4,2,2,16,119,2754,29.75,688.5
0,2,2,1,7,18,1.75,4.5
1,2,2,2,14,53,3.5,13.25
