,width,height,intensity,num_lines_abs,num_shapes_abs,num_lines_unit,num_shapes_unit
0,5,5,1,17,80,0.68,3.2
1,5,5,2,22,123,0.88,4.92
2,5,5,4,106,2441,4.24,97.64
3,5,5,8,162,5535,6.48,221.4
4,5,5,16,319,20049,12.76,801.96
0,5,5,1,20,75,0.8,3.0
1,5,5,2,34,265,1.36,10.6
2,5,5,4,83,1406,3.32,56.24
3,5,5,8,172,5676,6.88,227.04
4,5,5,16,309,18498,12.36,739.92
0,5,5,1,18,84,0.72,3.36
1,5,5,2,36,298,1.44,11.92
2,5,5,4,72,1050,2.88,42.0
3,5,5,8,141,3518,5.64,140.72
4,5,5,16,346,23133,13.84,925.32
0,5,5,1,15,36,0.6,1.44
1,5,5,2,35,243,1.4,9.72
2,5,5,4,76,1453,3.04,58.12
3,5,5,8,151,4178,6.04,167.12
4,5,5,16,339,22021,13.56,880.84
0,5,5,1,18,100,0.72,4.0
1,5,5,2,37,329,1.48,13.16
2,5,5,4,82,1356,3.28,54.24
3,5,5,8,179,6664,7.16,266.56
4,5,5,16,317,19562,12.68,782.48
0,5,5,1,22,70,0.88,2.8
1,5,5,2,37,221,1.48,8.84
2,5,5,4,80,1117,3.2,44.68
3,5,5,8,162,4888,6.48,195.52
4,5,5,16,358,26694,14.32,1067.76
0,5,5,1,13,38,0.52,1.52
1,5,5,2,52,686,2.08,27.44
2,5,5,4,79,1313,3.16,52.52
3,5,5,8,159,5315,6.36,212.6
4,5,5,16,348,25788,13.92,1031.52
0,5,5,1,25,150,1.0,6.0
1,5,5,2,38,298,1.52,11.92
2,5,5,4,85,1333,3.4,53.32
3,5,5,8,174,5814,6.96,232.56
4,5,5,16,320,21423,12.8,856.92
0,5,5,1,11,37,0.44,1.48
1,5,5,2,41,340,1.64,13.6
2,5,5,4,92,1841,3.68,73.64
3,5,5,8,132,3677,5.28,147.08
4,5,5,16,300,16301,12.0,652.04
0,5,5,1,13,41,0.52,1.64
1,5,5,2,49,524,1.96,20.96
2,5,5,4,79,1161,3.16,46.44
3,5,5,8,154,5046,6.16,201.84
4,5,5,16,300,17045,12.0,681.8
0,5,5,1,25,188,1.0,7.52
1,5,5,2,27,156,1.08,6.24
2,5,5,4,71,1154,2.84,46.16
3,5,5,8,158,5305,6.32,212.2
4,5,5,16,325,18666,13.0,746.64
0,5,5,1,20,115,0.8,4.6
1,5,5,2,31,236,1.24,9.44
2,5,5,4,89,1361,3.56,54.44
3,5,5,8,172,5936,6.88,237.44
4,5,5,16,345,24329,13.8,973.16
0,5,5,1,20,77,0.8,3.08
1,5,5,2,29,201,1.16,8.04
2,5,5,4,87,1795,3.48,71.8
3,5,5,8,152,4838,6.08,193.52
4,5,5,16,319,22573,12.76,902.92
0,5,5,1,27,137,1.08,5.48
1,5,5,2,31,253,1.24,10.12
2,5,5,4,74,1233,2.96,49.32
3,5,5,8,135,3406,5.4,136.24
4,5,5,16,284,16053,11.36,642.12
0,5,5,1,14,60,0.56,2.4
1,5,5,2,38,355,1.52,14.2
2,5,5,4,95,1811,3.8,72.44
3,5,5,8,155,4827,6.2,193.08
4,5,5,16,315,20845,12.6,833.8
0,5,5,1,23,132,0.92,5.28
1,5,5,2,49,586,1.96,23.44
2,5,5,4,77,1128,3.08,45.12
3,5,5,8,179,6522,7.16,260.88
4,5,5,16,368,27728,14.72,1109.12
0,5,5,1,19,98,0.76,3.92
1,5,5,2,39,407,1.56,16.28
2,5,5,4,72,1086,2.88,43.44
3,5,5,8,176,5795,7.04,231.8
4,5,5,16,336,22312,13.44,892.48
0,5,5,1,25,161,1.0,6.44
1,5,5,2,31,223,1.24,8.92
2,5,5,4,60,797,2.4,31.88
3,5,5,8,180,6781,7.2,271.24
4,5,5,16,301,18670,12.04,746.8
0,5,5,1,11,32,0.44,1.28
1,5,5,2,54,688,2.16,27.52
2,5,5,4,73,1240,2.92,49.6
3,5,5,8,177,6997,7.08,279.88
4,5,5,16,317,22910,12.68,916.4
0,5,5,1,18,68,0.72,2.72
1,5,5,2,35,321,1.4,12.84
2,5,5,4,67,974,2.68,38.96
3,5,5,8,161,4665,6.44,186.6
4,5,5,16,340,23926,13.6,957.04
0,5,5,1,25,195,1.0,7.8
1,5,5,2,34,191,1.36,7.64
2,5,5,4,92,1901,3.68,76.04
3,5,5,8,177,6421,7.08,256.84
4,5,5,16,299,17173,11.96,686.92
0,5,5,1,28,169,1.12,6.76
1,5,5,2,40,342,1.6,13.68
2,5,5,4,61,844,2.44,33.76
3,5,5,8,167,5225,6.68,209.0
4,5,5,16,329,23005,13.16,920.2
0,5,5,1,17,78,0.68,3.12
1,5,5,2,38,305,1.52,12.2
2,5,5,4,77,1246,3.08,49.84
3,5,5,8,162,5668,6.48,226.72
4,5,5,16,314,19528,12.56,781.12
0,5,5,1,12,33,0.48,1.32
1,5,5,2,45,479,1.8,19.16
2,5,5,4,98,1873,3.92,74.92
3,5,5,8,157,4315,6.28,172.6
4,5,5,16,328,21342,13.12,853.68
0,5,5,1,17,104,0.68,4.16
1,5,5,2,56,660,2.24,26.4
2,5,5,4,72,945,2.88,37.8
3,5,5,8,158,4783,6.32,191.32
4,5,5,16,310,17670,12.4,706.8
0,5,5,1,22,134,0.88,5.36
1,5,5,2,33,226,1.32,9.04
2,5,5,4,73,1049,2.92,41.96
3,5,5,8,158,4931,6.32,197.24
4,5,5,16,318,20447,12.72,817.88
0,5,5,1,19,105,0.76,4.2
1,5,5,2,41,323,1.64,12.92
2,5,5,4,71,988,2.84,39.52
3,5,5,8,148,4741,5.92,189.64
4,5,5,16,344,24738,13.76,989.52
0,5,5,1,21,116,0.84,4.64
1,5,5,2,47,533,1.88,21.32
2,5,5,4,88,1516,3.52,60.64
3,5,5,8,152,4552,6.08,182.08
4,5,5,16,343,23106,13.72,924.24
0,5,5,1,23,145,0.92,5.8
1,5,5,2,27,162,1.08,6.48
2,5,5,4,83,1596,3.32,63.84
3,5,5,8,174,5865,6.96,234.6
4,5,5,16,343,24226,13.72,969.04
0,5,5,1,26,149,1.04,5.96
1,5,5,2,51,627,2.04,25.08
2,5,5,4,77,1269,3.08,50.76
3,5,5,8,151,5009,6.04,200.36
4,5,5,16,313,20878,12.52,835.12
0,5,5,1,24,130,0.96,5.2
1,5,5,2,56,481,2.24,19.24
2,5,5,4,99,2109,3.96,84.36
3,5,5,8,158,5130,6.32,205.2
4,5,5,16,324,21449,12.96,857.96
0,5,5,1,27,116,1.08,4.64
1,5,5,2,45,530,1.8,21.2
2,5,5,4,94,1622,3.76,64.88
3,5,5,8,180,5583,7.2,223.32
4,5,5,16,304,20094,12.16,803.76
0,5,5,1,19,97,0.76,3.88
1,5,5,2,38,292,1.52,11.68
2,5,5,4,72,956,2.88,38.24
3,5,5,8,165,5815,6.6,232.6
4,5,5,16,327,22206,13.08,888.24
0,5,5,1,27,166,1.08,6.64
1,5,5,2,30,165,1.2,6.6
2,5,5,4,74,1080,2.96,43.2
3,5,5,8,139,3724,5.56,148.96
4,5,5,16,364,27471,14.56,1098.84
0,5,5,1,21,79,0.84,3.16
1,5,5,2,36,276,1.44,11.04
2,5,5,4,72,943,2.88,37.72
3,5,5,8,166,6116,6.64,244.64
4,5,5,16,323,22045,12.92,881.8
0,5,5,1,18,101,0.72,4.04
1,5,5,2,32,225,1.28,9.0
2,5,5,4,77,1132,3.08,45.28
3,5,5,8,140,4145,5.6,165.8
4,5,5,16,324,20436,12.96,817.44
0,5,5,1,25,157,1.0,6.28
