,width,height,intensity,num_lines_abs,num_shapes_abs,num_lines_unit,num_shapes_unit
0,6,6,1,30,215,0.8333333333333334,5.972222222222222
1,6,6,2,54,692,1.5,19.22222222222222
2,6,6,4,97,2021,2.6944444444444446,56.138888888888886
3,6,6,8,196,8645,5.444444444444445,240.13888888888889
4,6,6,16,397,32795,11.027777777777779,910.9722222222222
0,6,6,1,19,83,0.5277777777777778,2.3055555555555554
1,6,6,2,43,463,1.1944444444444444,12.86111111111111
2,6,6,4,97,2012,2.6944444444444446,55.888888888888886
3,6,6,8,203,8041,5.638888888888889,223.36111111111111
4,6,6,16,402,34350,11.166666666666666,954.1666666666666
0,6,6,1,21,105,0.5833333333333334,2.9166666666666665
1,6,6,2,46,410,1.2777777777777777,11.38888888888889
2,6,6,4,103,1830,2.861111111111111,50.833333333333336
3,6,6,8,194,7360,5.388888888888889,204.44444444444446
4,6,6,16,381,28728,10.583333333333334,798.0
0,6,6,1,20,75,0.5555555555555556,2.0833333333333335
1,6,6,2,50,510,1.3888888888888888,14.166666666666666
2,6,6,4,110,2353,3.0555555555555554,65.36111111111111
3,6,6,8,201,7903,5.583333333333333,219.52777777777777
4,6,6,16,381,28680,10.583333333333334,796.6666666666666
0,6,6,1,25,147,0.6944444444444444,4.083333333333333
1,6,6,2,55,582,1.5277777777777777,16.166666666666668
2,6,6,4,85,1484,2.361111111111111,41.22222222222222
3,6,6,8,189,7488,5.25,208.0
4,6,6,16,393,28158,10.916666666666666,782.1666666666666
0,6,6,1,21,117,0.5833333333333334,3.25
1,6,6,2,40,390,1.1111111111111112,10.833333333333334
2,6,6,4,102,2251,2.8333333333333335,62.52777777777778
3,6,6,8,199,7507,5.527777777777778,208.52777777777777
4,6,6,16,381,27770,10.583333333333334,771.3888888888889
0,6,6,1,20,113,0.5555555555555556,3.138888888888889
1,6,6,2,40,421,1.1111111111111112,11.694444444444445
2,6,6,4,107,2272,2.9722222222222223,63.111111111111114
3,6,6,8,161,5754,4.472222222222222,159.83333333333334
4,6,6,16,382,29984,10.61111111111111,832.8888888888889
0,6,6,1,28,205,0.7777777777777778,5.694444444444445
1,6,6,2,57,726,1.5833333333333333,20.166666666666668
2,6,6,4,109,2448,3.0277777777777777,68.0
3,6,6,8,193,7379,5.361111111111111,204.97222222222223
4,6,6,16,386,29779,10.722222222222221,827.1944444444445
0,6,6,1,27,206,0.75,5.722222222222222
1,6,6,2,41,376,1.1388888888888888,10.444444444444445
2,6,6,4,97,2102,2.6944444444444446,58.388888888888886
3,6,6,8,203,8234,5.638888888888889,228.72222222222223
4,6,6,16,387,27936,10.75,776.0
