,width,height,intensity,num_lines_abs,num_shapes_abs,num_lines_unit,num_shapes_unit
0,10,10,1,41,446,0.41,4.46
1,10,10,2,79,1194,0.79,11.94
2,10,10,4,152,5185,1.52,51.85
3,10,10,8,309,19167,3.09,191.67
4,10,10,16,582,71367,5.82,713.67
0,10,10,1,38,326,0.38,3.26
1,10,10,2,76,1269,0.76,12.69
2,10,10,4,176,5812,1.76,58.12
3,10,10,8,325,19744,3.25,197.44
4,10,10,16,642,85420,6.42,854.2
0,10,10,1,43,363,0.43,3.63
1,10,10,2,60,721,0.6,7.21
2,10,10,4,156,4395,1.56,43.95
3,10,10,8,341,21675,3.41,216.75
4,10,10,16,657,79309,6.57,793.09
0,10,10,1,54,526,0.54,5.26
1,10,10,2,87,1607,0.87,16.07
2,10,10,4,167,5520,1.67,55.2
3,10,10,8,326,20982,3.26,209.82
4,10,10,16,618,79178,6.18,791.78
0,10,10,1,43,489,0.43,4.89
1,10,10,2,81,1351,0.81,13.51
2,10,10,4,186,6628,1.86,66.28
3,10,10,8,328,21039,3.28,210.39
4,10,10,16,646,81385,6.46,813.85
0,10,10,1,34,242,0.34,2.42
1,10,10,2,71,1058,0.71,10.58
2,10,10,4,153,5126,1.53,51.26
3,10,10,8,312,18498,3.12,184.98
4,10,10,16,609,68091,6.09,680.91
0,10,10,1,51,621,0.51,6.21
1,10,10,2,95,1917,0.95,19.17
2,10,10,4,158,4863,1.58,48.63
3,10,10,8,299,18944,2.99,189.44
4,10,10,16,660,83213,6.6,832.13
0,10,10,1,50,470,0.5,4.7
1,10,10,2,73,950,0.73,9.5
2,10,10,4,155,4783,1.55,47.83
3,10,10,8,316,19561,3.16,195.61
4,10,10,16,623,75293,6.23,752.93
0,10,10,1,32,266,0.32,2.66
1,10,10,2,84,1581,0.84,15.81
2,10,10,4,152,4609,1.52,46.09
3,10,10,8,335,22485,3.35,224.85
4,10,10,16,642,82887,6.42,828.87
0,10,10,1,27,177,0.27,1.77
1,10,10,2,84,1484,0.84,14.84
2,10,10,4,138,4276,1.38,42.76
3,10,10,8,323,20143,3.23,201.43
4,10,10,16,644,82739,6.44,827.39
0,10,10,1,39,323,0.39,3.23
1,10,10,2,84,1217,0.84,12.17
2,10,10,4,152,4712,1.52,47.12
3,10,10,8,317,20573,3.17,205.73
4,10,10,16,629,76599,6.29,765.99
0,10,10,1,38,289,0.38,2.89
1,10,10,2,78,1149,0.78,11.49
2,10,10,4,166,5511,1.66,55.11
3,10,10,8,328,24330,3.28,243.3
4,10,10,16,677,88654,6.77,886.54
0,10,10,1,36,215,0.36,2.15
1,10,10,2,83,1394,0.83,13.94
2,10,10,4,184,6466,1.84,64.66
3,10,10,8,326,20571,3.26,205.71
4,10,10,16,574,62302,5.74,623.02
0,10,10,1,43,409,0.43,4.09
1,10,10,2,86,1219,0.86,12.19
2,10,10,4,179,6567,1.79,65.67
3,10,10,8,327,19865,3.27,198.65
4,10,10,16,650,76665,6.5,766.65
0,10,10,1,53,641,0.53,6.41
1,10,10,2,84,1541,0.84,15.41
2,10,10,4,162,4894,1.62,48.94
3,10,10,8,291,17203,2.91,172.03
4,10,10,16,661,85106,6.61,851.06
0,10,10,1,47,422,0.47,4.22
1,10,10,2,88,1492,0.88,14.92
2,10,10,4,148,4228,1.48,42.28
3,10,10,8,339,23897,3.39,238.97
4,10,10,16,635,74873,6.35,748.73
0,10,10,1,29,226,0.29,2.26
1,10,10,2,75,1222,0.75,12.22
2,10,10,4,152,4806,1.52,48.06
3,10,10,8,337,23038,3.37,230.38
4,10,10,16,623,79092,6.23,790.92
0,10,10,1,38,298,0.38,2.98
1,10,10,2,86,1778,0.86,17.78
2,10,10,4,147,4069,1.47,40.69
3,10,10,8,310,20652,3.1,206.52
4,10,10,16,621,78994,6.21,789.94
0,10,10,1,39,313,0.39,3.13
1,10,10,2,80,1411,0.8,14.11
2,10,10,4,153,4537,1.53,45.37
3,10,10,8,357,23732,3.57,237.32
4,10,10,16,649,82381,6.49,823.81
0,10,10,1,31,165,0.31,1.65
1,10,10,2,89,1639,0.89,16.39
2,10,10,4,162,5333,1.62,53.33
3,10,10,8,359,28297,3.59,282.97
4,10,10,16,632,76582,6.32,765.82
0,10,10,1,39,323,0.39,3.23
1,10,10,2,90,1628,0.9,16.28
2,10,10,4,174,6534,1.74,65.34
3,10,10,8,320,18902,3.2,189.02
4,10,10,16,643,82282,6.43,822.82
0,10,10,1,42,313,0.42,3.13
1,10,10,2,92,1651,0.92,16.51
2,10,10,4,165,5907,1.65,59.07
3,10,10,8,317,19783,3.17,197.83
4,10,10,16,681,94275,6.81,942.75
0,10,10,1,33,259,0.33,2.59
1,10,10,2,69,996,0.69,9.96
2,10,10,4,161,5144,1.61,51.44
3,10,10,8,307,20150,3.07,201.5
4,10,10,16,632,84812,6.32,848.12
0,10,10,1,44,374,0.44,3.74
1,10,10,2,92,1610,0.92,16.1
2,10,10,4,166,5635,1.66,56.35
3,10,10,8,310,18683,3.1,186.83
4,10,10,16,602,71996,6.02,719.96
0,10,10,1,39,331,0.39,3.31
1,10,10,2,58,695,0.58,6.95
2,10,10,4,149,4241,1.49,42.41
3,10,10,8,315,20355,3.15,203.55
4,10,10,16,623,77417,6.23,774.17
0,10,10,1,40,400,0.4,4.0
1,10,10,2,78,1279,0.78,12.79
2,10,10,4,151,4636,1.51,46.36
3,10,10,8,335,23226,3.35,232.26
4,10,10,16,702,101528,7.02,1015.28
0,10,10,1,35,256,0.35,2.56
1,10,10,2,68,1041,0.68,10.41
2,10,10,4,170,5396,1.7,53.96
3,10,10,8,324,21684,3.24,216.84
4,10,10,16,622,82437,6.22,824.37
0,10,10,1,53,491,0.53,4.91
1,10,10,2,75,1114,0.75,11.14
