,pop_size,pop_infected,n_days,location,variants,rand_seed,cum_infections,cum_deaths,cum_recoveries,avg_age,wild_beta,rel_beta,beta
555,10000,100,200,United Kingdom,delta,896,8553.0,105.0,8448.0,40.92478,0.016,2.2,0.0352
556,10000,100,200,South Africa,alpha,614,7779.0,23.0,7756.0,29.750324,0.016,1.67,0.02672
557,10000,100,200,South Africa,beta,849,7624.0,23.0,7601.0,29.88224,0.016,1.0,0.016
558,10000,100,200,South Africa,delta,244,7663.0,20.0,7643.0,29.342478,0.016,2.2,0.0352
559,10000,100,200,United Kingdom,beta,431,8649.0,94.0,8555.0,41.272118,0.016,1.0,0.016
560,10000,100,200,India,gamma,811,7987.0,20.0,7967.0,31.20219,0.016,2.05,0.032799999999999996
561,10000,100,200,Brazil,gamma,595,8227.0,41.0,8186.0,34.93259,0.016,2.05,0.032799999999999996
562,10000,100,200,Brazil,gamma,362,8352.0,40.0,8312.0,34.952026,0.016,2.05,0.032799999999999996
563,10000,100,200,United Kingdom,alpha,633,8671.0,94.0,8577.0,41.383224,0.016,1.67,0.02672
564,10000,100,200,India,delta,961,7922.0,32.0,7890.0,31.070347,0.016,2.2,0.0352
565,10000,100,200,United Kingdom,alpha,300,8965.0,109.0,8856.0,41.534565,0.016,1.67,0.02672
566,10000,100,200,Brazil,gamma,153,9085.0,52.0,9033.0,34.887257,0.016,2.05,0.032799999999999996
567,10000,100,200,South Africa,beta,209,7702.0,23.0,7679.0,29.232397,0.016,1.0,0.016
568,10000,100,200,Brazil,gamma,439,8250.0,28.0,8222.0,35.080856,0.016,2.05,0.032799999999999996
569,10000,100,200,United Kingdom,beta,842,8647.0,83.0,8564.0,41.56403,0.016,1.0,0.016
570,10000,100,200,India,delta,926,7917.0,33.0,7884.0,31.674866,0.016,2.2,0.0352
571,10000,100,200,India,delta,111,9348.0,54.0,9294.0,31.194912,0.016,2.2,0.0352
572,10000,100,200,South Africa,beta,956,7853.0,19.0,7834.0,29.799446,0.016,1.0,0.016
573,10000,100,200,South Africa,beta,712,7750.0,19.0,7731.0,29.847609,0.016,1.0,0.016
574,10000,100,200,Brazil,gamma,256,8228.0,46.0,8182.0,35.356735,0.016,2.05,0.032799999999999996
575,10000,100,200,India,alpha,800,7936.0,22.0,7914.0,30.940157,0.016,1.67,0.02672
576,10000,100,200,Brazil,gamma,346,8836.0,53.0,8783.0,35.049732,0.016,2.05,0.032799999999999996
577,10000,100,200,India,delta,737,8254.0,30.0,8224.0,30.799356,0.016,2.2,0.0352
578,10000,100,200,South Africa,beta,302,7851.0,29.0,7822.0,29.864737,0.016,1.0,0.016
579,10000,100,200,South Africa,beta,444,7763.0,17.0,7746.0,29.741621,0.016,1.0,0.016
580,10000,100,200,South Africa,beta,1000,7751.0,13.0,7738.0,29.483088,0.016,1.0,0.016
581,10000,100,200,India,delta,150,8872.0,43.0,8829.0,31.072874,0.016,2.2,0.0352
582,10000,100,200,South Africa,beta,458,7769.0,19.0,7750.0,30.02225,0.016,1.0,0.016
583,10000,100,200,United Kingdom,alpha,875,8712.0,105.0,8607.0,41.7908,0.016,1.67,0.02672
584,10000,100,200,Brazil,gamma,43,9084.0,65.0,9019.0,35.11393,0.016,2.05,0.032799999999999996
585,10000,100,200,India,delta,150,8872.0,43.0,8829.0,31.072874,0.016,2.2,0.0352
586,10000,100,200,United Kingdom,alpha,663,8763.0,89.0,8674.0,41.523994,0.016,1.67,0.02672
587,10000,100,200,Brazil,delta,405,8285.0,42.0,8243.0,34.92228,0.016,2.2,0.0352
588,10000,100,200,United Kingdom,alpha,915,8515.0,103.0,8412.0,40.9343,0.016,1.67,0.02672
589,10000,100,200,South Africa,beta,476,7941.0,19.0,7922.0,29.985434,0.016,1.0,0.016
590,10000,100,200,India,delta,105,9032.0,57.0,8975.0,31.146944,0.016,2.2,0.0352
591,10000,100,200,South Africa,beta,563,7913.0,24.0,7889.0,29.683153,0.016,1.0,0.016
592,10000,100,200,South Africa,gamma,595,7785.0,16.0,7769.0,29.610321,0.016,2.05,0.032799999999999996
593,10000,100,200,United Kingdom,alpha,155,8548.0,93.0,8455.0,41.57057,0.016,1.67,0.02672
594,10000,100,200,India,delta,239,8095.0,26.0,8069.0,31.51424,0.016,2.2,0.0352
595,10000,100,200,United Kingdom,alpha,477,8834.0,112.0,8722.0,41.57794,0.016,1.67,0.02672
596,10000,100,200,Brazil,gamma,845,9185.0,75.0,9110.0,34.815804,0.016,2.05,0.032799999999999996
597,10000,100,200,United Kingdom,alpha,378,8757.0,100.0,8657.0,41.186836,0.016,1.67,0.02672
598,10000,100,200,United Kingdom,alpha,994,8644.0,92.0,8552.0,41.202362,0.016,1.67,0.02672
599,10000,100,200,India,delta,352,9160.0,41.0,9119.0,30.757437,0.016,2.2,0.0352
600,10000,100,200,United Kingdom,delta,690,9416.0,177.0,9239.0,41.71964,0.016,2.2,0.0352
601,10000,100,200,South Africa,beta,702,7722.0,24.0,7698.0,29.868074,0.016,1.0,0.016
602,10000,100,200,Brazil,gamma,416,8929.0,64.0,8865.0,35.22381,0.016,2.05,0.032799999999999996
603,10000,100,200,India,alpha,759,8327.0,29.0,8298.0,30.760965,0.016,1.67,0.02672
604,10000,100,200,United Kingdom,alpha,317,8683.0,106.0,8577.0,41.460003,0.016,1.67,0.02672
605,10000,100,200,Brazil,gamma,492,8910.0,56.0,8854.0,35.460915,0.016,2.05,0.032799999999999996
606,10000,100,200,United Kingdom,alpha,168,8619.0,83.0,8536.0,41.442177,0.016,1.67,0.02672
607,10000,100,200,United Kingdom,alpha,527,8430.0,87.0,8343.0,41.17551,0.016,1.67,0.02672
608,10000,100,200,South Africa,beta,383,7852.0,21.0,7831.0,29.869837,0.016,1.0,0.016
609,10000,100,200,Brazil,gamma,728,8975.0,56.0,8919.0,35.10334,0.016,2.05,0.032799999999999996
610,10000,100,200,Brazil,gamma,958,9053.0,71.0,8982.0,35.57644,0.016,2.05,0.032799999999999996
611,10000,100,200,Brazil,gamma,90,9160.0,59.0,9101.0,35.173958,0.016,2.05,0.032799999999999996
612,10000,100,200,Brazil,delta,388,8402.0,44.0,8358.0,35.20061,0.016,2.2,0.0352
613,10000,100,200,United Kingdom,alpha,987,8935.0,109.0,8826.0,41.350636,0.016,1.67,0.02672
614,10000,100,200,South Africa,beta,675,7849.0,24.0,7825.0,29.6895,0.016,1.0,0.016
615,10000,100,200,South Africa,beta,371,7861.0,28.0,7833.0,29.931969,0.016,1.0,0.016
616,10000,100,200,India,delta,719,8051.0,32.0,8019.0,31.078869,0.016,2.2,0.0352
617,10000,100,200,South Africa,beta,308,7837.0,24.0,7813.0,29.52395,0.016,1.0,0.016
618,10000,100,200,Brazil,delta,4,8250.0,38.0,8212.0,35.126717,0.016,2.2,0.0352
619,10000,100,200,India,delta,663,7894.0,25.0,7869.0,31.305529,0.016,2.2,0.0352
620,10000,100,200,United Kingdom,alpha,881,8791.0,94.0,8697.0,41.35693,0.016,1.67,0.02672
621,10000,100,200,United Kingdom,alpha,959,8643.0,82.0,8561.0,41.470573,0.016,1.67,0.02672
622,10000,100,200,India,delta,60,7958.0,25.0,7933.0,31.355288,0.016,2.2,0.0352
623,10000,100,200,Brazil,beta,18,8125.0,29.0,8096.0,35.03085,0.016,1.0,0.016
624,10000,100,200,United Kingdom,alpha,550,8511.0,95.0,8416.0,41.28742,0.016,1.67,0.02672
625,10000,100,200,Brazil,alpha,872,8414.0,38.0,8376.0,35.0238,0.016,1.67,0.02672
626,10000,100,200,Brazil,alpha,867,8873.0,45.0,8828.0,34.87102,0.016,1.67,0.02672
627,10000,100,200,South Africa,beta,684,7859.0,21.0,7838.0,29.752075,0.016,1.0,0.016
628,10000,100,200,South Africa,beta,330,7763.0,29.0,7734.0,29.789871,0.016,1.0,0.016
629,10000,100,200,India,beta,145,7957.0,27.0,7930.0,30.93635,0.016,1.0,0.016
