,Unnamed: 0,Unnamed: 0.1,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
1,1,1,51633,20,hybrid,1000,216,Bangladesh,delta,992985.2259878656,3000.0,990031.8659137598,897,30.220367,0.016,2.2,0.0352,1.0,3.4690000000000003
3,7,7,51633,20,hybrid,1000,216,Bangladesh,delta,993234.1094878594,2980.0,990053.5335324906,271,30.13845,0.016,2.2,0.0352,1.0,3.4690000000000003
4,8,8,51633,20,hybrid,1000,216,Bangladesh,delta,993316.4935300802,3020.0,990428.2117702328,967,30.18971,0.016,2.2,0.0352,1.0,3.4690000000000003
7,12,12,51633,20,hybrid,1000,216,Bangladesh,delta,992471.2628319731,2820.0,989663.986027762,972,30.126715,0.016,2.2,0.0352,1.0,3.4690000000000003
9,15,15,51633,20,hybrid,1000,216,Bangladesh,delta,993233.0573192836,2640.0,990407.636022981,406,30.114086,0.016,2.2,0.0352,1.0,3.4690000000000003
10,16,16,51633,20,hybrid,1000,216,Bangladesh,beta,875782.6228609941,2378.488425889504,874143.1190435451,328,30.130114,0.016,1.0,0.016,1.0,3.4690000000000003
12,21,21,51633,20,hybrid,1000,216,Bangladesh,delta,992264.6248224624,3120.0,989193.1066120917,353,30.287306,0.016,2.2,0.0352,1.0,3.4690000000000003
13,26,26,51633,20,hybrid,1000,216,Bangladesh,delta,992298.5174118616,2860.0,989309.102671185,143,30.14267,0.016,2.2,0.0352,1.0,3.4690000000000003
15,29,29,51633,20,hybrid,1000,216,Bangladesh,delta,994834.6557530226,2760.0,992419.8550447632,809,30.184792,0.016,2.2,0.0352,1.0,3.4690000000000003
17,31,31,51633,20,hybrid,1000,216,Bangladesh,delta,991416.8053103524,2740.0,988681.7165129692,125,30.204094,0.016,2.2,0.0352,1.0,3.4690000000000003
18,33,33,51633,20,hybrid,1000,216,Bangladesh,delta,992775.3253797764,2519.889338934905,990437.7529497384,978,30.221193,0.016,2.2,0.0352,1.0,3.4690000000000003
19,34,34,51633,20,hybrid,1000,216,Bangladesh,delta,992370.9366157989,2540.0,989925.9749971929,719,30.170628,0.016,2.2,0.0352,1.0,3.4690000000000003
22,37,37,51633,20,hybrid,1000,216,Bangladesh,delta,992699.168632427,2810.3426315902666,989769.416319186,317,30.15227,0.016,2.2,0.0352,1.0,3.4690000000000003
23,39,39,51633,20,hybrid,1000,216,Bangladesh,delta,993001.6316672496,2840.0,990062.4363368718,294,30.187414,0.016,2.2,0.0352,1.0,3.4690000000000003
24,40,40,51633,20,hybrid,1000,216,Bangladesh,beta,868111.4384566289,2384.29981696,866151.8736030372,232,29.974766,0.016,1.0,0.016,1.0,3.4690000000000003
26,49,49,51633,20,hybrid,1000,216,Bangladesh,delta,992881.2167081402,2240.0,990653.3326947284,566,30.103807,0.016,2.2,0.0352,1.0,3.4690000000000003
29,52,52,51633,20,hybrid,1000,216,Bangladesh,delta,991706.0908377912,2800.0,989006.4351068712,969,30.169594,0.016,2.2,0.0352,1.0,3.4690000000000003
31,55,55,51633,20,hybrid,1000,216,Bangladesh,delta,992514.176501464,2620.0,989874.5907695777,555,30.199455,0.016,2.2,0.0352,1.0,3.4690000000000003
32,60,60,51633,20,hybrid,1000,216,Bangladesh,delta,992742.784379639,2480.0,990228.6713234276,436,30.144512,0.016,2.2,0.0352,1.0,3.4690000000000003
