,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
1303,51633,20,hybrid,1000,216,Bangladesh,delta,992424.6798713164,2540.0,989894.972003244,256,30.069483,0.016,2.2,0.0352,1.0,3.4690000000000003
1304,51633,20,hybrid,1000,216,Oman,gamma,1014103.7296193676,1480.0,1012563.584696276,415,30.04964,0.016,2.0,0.032,1.0,7.017
1305,51633,20,hybrid,1000,216,Oman,beta,956086.1950729996,1440.0,955125.5558304233,560,29.899246,0.016,1.0,0.016,1.0,7.017
1306,51633,20,hybrid,1000,216,Bangladesh,delta,994406.2040789084,2700.0,991672.7546292618,164,30.183092,0.016,2.2,0.0352,1.0,3.4690000000000003
1307,51633,20,hybrid,1000,216,Mozambique,beta,781577.2962816745,1172.8391846454888,780108.6038102868,927,22.44238,0.016,1.0,0.016,1.0,3.366
1308,51633,20,hybrid,1000,216,Gambia,alpha,980177.543813977,1060.0000000000002,979126.2847076368,324,22.160471,0.016,1.67,0.02672,1.0,7.228999999999999
1309,51633,20,hybrid,1000,216,Bangladesh,alpha,966833.0206559672,2180.0,964276.2316132878,896,30.102272,0.016,1.67,0.02672,1.0,3.4690000000000003
1310,51633,20,hybrid,1000,216,Bangladesh,delta,994081.9598806988,2720.0,991342.7399133976,315,30.24748,0.016,2.2,0.0352,1.0,3.4690000000000003
1311,51633,20,hybrid,1000,216,Gambia,alpha,979573.9661444152,1200.0,978214.7798250128,337,22.141739,0.016,1.67,0.02672,1.0,7.228999999999999
1312,51633,20,hybrid,1000,216,Gambia,alpha,980409.530785112,1140.0,979001.4103248728,942,22.145363,0.016,1.67,0.02672,1.0,7.228999999999999
1313,51633,20,hybrid,1000,216,Bangladesh,delta,991642.09536779,2480.0,989394.4931529624,6,30.052074,0.016,2.2,0.0352,1.0,3.4690000000000003
1314,51633,20,hybrid,1000,216,Mozambique,beta,782953.5720681809,1060.0,782122.281695755,319,22.271454,0.016,1.0,0.016,1.0,3.366
1315,51633,20,hybrid,1000,216,Mozambique,beta,782860.2078326889,962.985984,781937.4464251094,975,22.300087,0.016,1.0,0.016,1.0,3.366
1316,51633,20,hybrid,1000,216,Bangladesh,alpha,969151.0408621324,2620.0,966635.4269226058,116,30.244595,0.016,1.67,0.02672,1.0,3.4690000000000003
1317,51633,20,hybrid,1000,216,Gambia,beta,901141.6145185868,1140.0,899856.3582029929,194,22.201002,0.016,1.0,0.016,1.0,7.228999999999999
1318,51633,20,hybrid,1000,216,Bangladesh,delta,992398.8156199256,2660.0,989708.2230767407,357,30.223614,0.016,2.2,0.0352,1.0,3.4690000000000003
1319,51633,20,hybrid,1000,216,Oman,gamma,1013628.9947539988,1340.0,1012123.0941506244,873,29.831648,0.016,2.0,0.032,1.0,7.017
