,Unnamed: 0,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
4372,4372,51633,20,hybrid,1000,216,Gambia,alpha,982213.814911794,1120.0,981285.0788298296,671,22.202696,0.016,1.67,0.02672,1.0,7.228999999999999
4375,4375,51633,20,hybrid,1000,216,Gambia,alpha,982983.0722139466,1180.0,981901.0337010556,612,22.248465,0.016,1.67,0.02672,1.0,7.228999999999999
4376,4376,51633,20,hybrid,1000,216,Mozambique,beta,782621.5291081469,1100.0,781609.0848879012,513,22.286419,0.016,1.0,0.016,1.0,3.366
4377,4377,51633,20,hybrid,1000,216,Mozambique,beta,787011.9175065148,1148.916100448256,785994.0101873509,763,22.44965,0.016,1.0,0.016,1.0,3.366
4378,4378,51633,20,hybrid,1000,216,Gambia,alpha,981386.8907471034,1020.0,980362.7768507164,864,22.301493,0.016,1.67,0.02672,1.0,7.228999999999999
4381,4381,51633,20,hybrid,1000,216,Gambia,alpha,981810.55304368,1100.0,980716.701129802,29,22.328032,0.016,1.67,0.02672,1.0,7.228999999999999
4384,4384,51633,20,hybrid,1000,216,Mozambique,beta,790340.6217094774,1132.8391846454888,789121.0149134159,984,22.271204,0.016,1.0,0.016,1.0,3.366
4387,4387,51633,20,hybrid,1000,216,Gambia,alpha,980795.4884976894,1200.0,979659.0786446662,571,22.160198,0.016,1.67,0.02672,1.0,7.228999999999999
4392,4392,51633,20,hybrid,1000,216,Gambia,alpha,982964.4188759392,1060.0,981741.4322958844,541,22.066658,0.016,1.67,0.02672,1.0,7.228999999999999
4395,4395,51633,20,hybrid,1000,216,Gambia,delta,1003185.2515360536,1140.0,1001965.1392962434,279,22.114864,0.016,2.2,0.0352,1.0,7.228999999999999
4399,4399,51633,20,hybrid,1000,216,Gambia,alpha,983681.221948208,1260.0,982522.5855071878,505,22.286407,0.016,1.67,0.02672,1.0,7.228999999999999
4400,4400,51633,20,hybrid,1000,216,Mozambique,beta,787308.5703785904,1000.0,786424.7307662644,851,22.335396,0.016,1.0,0.016,1.0,3.366
4401,4401,51633,20,hybrid,1000,216,Mozambique,delta,960735.3036802134,1056.6979771189172,959665.4321942774,536,22.312523,0.016,2.2,0.0352,1.0,3.366
4410,4410,51633,20,hybrid,1000,216,Gambia,alpha,984349.337593184,1020.0,983238.0681765936,632,22.34112,0.016,1.67,0.02672,1.0,7.228999999999999
4413,4413,51633,20,hybrid,1000,216,Mozambique,beta,783603.1653070771,800.0,782610.801315087,427,22.309177,0.016,1.0,0.016,1.0,3.366
4414,4414,51633,20,hybrid,1000,216,Gambia,beta,902365.1642485884,1280.0,900878.849329326,405,22.09055,0.016,1.0,0.016,1.0,7.228999999999999
4419,4419,51633,20,hybrid,1000,216,Gambia,alpha,981564.2838762292,1100.0000000000002,980421.6297802709,67,22.251492,0.016,1.67,0.02672,1.0,7.228999999999999
4420,4420,51633,20,hybrid,1000,216,Gambia,alpha,980430.603367325,1480.0,979088.5017918332,576,22.185139,0.016,1.67,0.02672,1.0,7.228999999999999
4421,4421,51633,20,hybrid,1000,216,Mozambique,delta,960356.049777718,1180.0,959140.6670583,659,22.140749,0.016,2.2,0.0352,1.0,3.366
4422,4422,51633,20,hybrid,1000,216,Gambia,alpha,981080.4855611416,1280.0,979894.3576243334,718,22.24637,0.016,1.67,0.02672,1.0,7.228999999999999
4423,4423,51633,20,hybrid,1000,216,Gambia,alpha,980193.447440066,1120.0000000000002,979324.6572711908,544,22.184765,0.016,1.67,0.02672,1.0,7.228999999999999
4424,4424,51633,20,hybrid,1000,216,Mozambique,beta,794036.24419969,1080.0,792546.3055284509,231,22.199217,0.016,1.0,0.016,1.0,3.366
4426,4426,51633,20,hybrid,1000,216,Gambia,delta,1004475.9997536994,980.0,1003536.8529074562,626,22.179836,0.016,2.2,0.0352,1.0,7.228999999999999
4430,4430,51633,20,hybrid,1000,216,Mozambique,delta,960311.0652909012,1180.0,959312.1427685732,464,22.247192,0.016,2.2,0.0352,1.0,3.366
4431,4431,51633,20,hybrid,1000,216,Mozambique,beta,786685.7592264456,1160.0,785333.9667166504,70,22.259779,0.016,1.0,0.016,1.0,3.366
4432,4432,51633,20,hybrid,1000,216,Mozambique,beta,774324.7416148089,914.075880800256,772731.0412540174,82,22.203968,0.016,1.0,0.016,1.0,3.366
4433,4433,51633,20,hybrid,1000,216,Gambia,alpha,981203.0087080495,960.0,980321.4402753956,827,22.181479,0.016,1.67,0.02672,1.0,7.228999999999999
4434,4434,51633,20,hybrid,1000,216,Mozambique,beta,780855.5395698508,976.8910569603072,779944.9365320472,261,22.278545,0.016,1.0,0.016,1.0,3.366
4436,4436,51633,20,hybrid,1000,216,Mozambique,beta,774324.7416148089,914.075880800256,772731.0412540174,82,22.203968,0.016,1.0,0.016,1.0,3.366
4437,4437,51633,20,hybrid,1000,216,Mozambique,gamma,948392.501047635,1300.0,947364.2220694374,925,22.311329,0.016,2.0,0.032,1.0,3.366
4440,4440,51633,20,hybrid,1000,216,Gambia,alpha,981280.2132624716,940.0,980043.3333263984,178,22.283024,0.016,1.67,0.02672,1.0,7.228999999999999
4441,4441,51633,20,hybrid,1000,216,Gambia,alpha,983503.3962287208,1040.0,982227.1259857436,910,22.268724,0.016,1.67,0.02672,1.0,7.228999999999999
4443,4443,51633,20,hybrid,1000,216,Gambia,delta,1003983.374035332,1220.0,1003020.1975315914,763,22.36015,0.016,2.2,0.0352,1.0,7.228999999999999
4444,4444,51633,20,hybrid,1000,216,Mozambique,beta,787430.3899612,1248.916100448256,786380.2852558423,699,22.252802,0.016,1.0,0.016,1.0,3.366
4446,4446,51633,20,hybrid,1000,216,Gambia,delta,1002346.6821577724,1100.0,1001313.5140152792,955,22.114807,0.016,2.2,0.0352,1.0,7.228999999999999
4448,4448,51633,20,hybrid,1000,216,Mozambique,beta,788588.7328263348,840.0,787494.9498719473,237,22.321262,0.016,1.0,0.016,1.0,3.366
4449,4449,51633,20,hybrid,1000,216,Mozambique,beta,784796.542939578,1440.0,783413.6947666015,836,22.331663,0.016,1.0,0.016,1.0,3.366
4451,4451,51633,20,hybrid,1000,216,Mozambique,beta,780791.2150320397,720.0,779935.0404483763,936,22.230007,0.016,1.0,0.016,1.0,3.366
4452,4452,51633,20,hybrid,1000,216,Gambia,delta,1003377.319395392,1120.0,1002203.6194839426,424,22.255527,0.016,2.2,0.0352,1.0,7.228999999999999
4453,4453,51633,20,hybrid,1000,216,Mozambique,beta,784277.6098042086,967.43008370688,783359.4276127182,791,22.321941,0.016,1.0,0.016,1.0,3.366
4454,4454,51633,20,hybrid,1000,216,Gambia,alpha,979195.5809221432,1240.0,978111.9715840996,936,22.147348,0.016,1.67,0.02672,1.0,7.228999999999999
4455,4455,51633,20,hybrid,1000,216,Mozambique,beta,780219.6579025215,1360.0,778614.4731950732,245,22.278454,0.016,1.0,0.016,1.0,3.366
4456,4456,51633,20,hybrid,1000,216,Mozambique,beta,786843.6736046447,1100.0,785998.6132735976,603,22.37533,0.016,1.0,0.016,1.0,3.366
4457,4457,51633,20,hybrid,1000,216,Gambia,alpha,980482.1461628918,1040.0,979536.3083350884,503,22.177692,0.016,1.67,0.02672,1.0,7.228999999999999
4460,4460,51633,20,hybrid,1000,216,Mozambique,beta,780415.313687027,1300.0,778821.312744791,381,22.242914,0.016,1.0,0.016,1.0,3.366
4461,4461,51633,20,hybrid,1000,216,Gambia,gamma,995028.983591366,1120.0,993996.0841635294,963,22.2319,0.016,2.0,0.032,1.0,7.228999999999999
4462,4462,51633,20,hybrid,1000,216,Mozambique,beta,780456.7316427818,1220.0,778901.0633295598,153,22.134941,0.016,1.0,0.016,1.0,3.366
4463,4463,51633,20,hybrid,1000,216,Gambia,alpha,980702.5451474268,1200.0,979497.8014385432,887,22.152115,0.016,1.67,0.02672,1.0,7.228999999999999
4464,4464,51633,20,hybrid,1000,216,Mozambique,beta,779566.046730825,1260.0,778848.5087547259,120,22.166618,0.016,1.0,0.016,1.0,3.366
4465,4465,51633,20,hybrid,1000,216,Mozambique,gamma,950984.6105878614,1360.0,949573.165680094,959,22.290672,0.016,2.0,0.032,1.0,3.366
