,Unnamed: 0,Unnamed: 0.1,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
1595,3240,3240,51633,20,hybrid,1000,216,Mozambique,beta,781875.6514187693,1020.0,780720.1656396118,849,22.479511,0.016,1.0,0.016,1.0,3.366
1597,3244,3244,51633,20,hybrid,1000,216,Mozambique,beta,792564.4388190613,1028.916100448256,791626.1884259245,62,22.27119,0.016,1.0,0.016,1.0,3.366
1599,3248,3248,51633,20,hybrid,1000,216,Mozambique,beta,778530.7348185803,901.4744098895036,777746.6790282374,403,22.179054,0.016,1.0,0.016,1.0,3.366
1600,3253,3253,51633,20,hybrid,1000,216,Mozambique,delta,961420.358191827,1200.0,960331.030898494,8,22.292984,0.016,2.2,0.0352,1.0,3.366
1604,3263,3263,51633,20,hybrid,1000,216,Mozambique,alpha,921714.435921819,1360.0,920256.9205135044,979,22.400095,0.016,1.67,0.02672,1.0,3.366
1605,3266,3266,51633,20,hybrid,1000,216,Mozambique,beta,779385.9328733573,1120.0,778131.9651133975,161,22.178553,0.016,1.0,0.016,1.0,3.366
1611,3278,3278,51633,20,hybrid,1000,216,Mozambique,alpha,922970.9969274388,1200.0,921622.1222006484,426,22.323528,0.016,1.67,0.02672,1.0,3.366
1616,3292,3292,51633,20,hybrid,1000,216,Mozambique,beta,785478.5383437563,960.0,784340.7405775895,858,22.193054,0.016,1.0,0.016,1.0,3.366
1617,3293,3293,51633,20,hybrid,1000,216,Mozambique,delta,957875.3495178884,1420.0,956416.00278734,192,22.247795,0.016,2.2,0.0352,1.0,3.366
1619,3297,3297,51633,20,hybrid,1000,216,Mozambique,delta,959450.1055442544,1420.0,958318.514051989,334,22.294083,0.016,2.2,0.0352,1.0,3.366
1620,3298,3298,51633,20,hybrid,1000,216,Mozambique,beta,771894.7308780446,995.4070215745865,770783.9434106288,702,22.227657,0.016,1.0,0.016,1.0,3.366
