,Unnamed: 0,Unnamed: 0.1,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
1347,2705,2705,51633,20,hybrid,1000,216,Mozambique,beta,781913.0544188693,1080.0,780967.599089444,834,22.265123,0.016,1.0,0.016,1.0,3.366
1353,2718,2718,51633,20,hybrid,1000,216,Mozambique,beta,783553.7823588506,1086.1917364224,782917.2203374731,717,22.333622,0.016,1.0,0.016,1.0,3.366
1355,2729,2729,51633,20,hybrid,1000,216,Mozambique,beta,785744.1714742277,1180.0,784808.9284244494,278,22.300804,0.016,1.0,0.016,1.0,3.366
1359,2743,2743,51633,20,hybrid,1000,216,Mozambique,beta,781907.4821785835,1067.43008370688,779845.3618442642,247,22.2719,0.016,1.0,0.016,1.0,3.366
1361,2750,2750,51633,20,hybrid,1000,216,Mozambique,beta,789826.5692932981,1020.0,788330.3405404311,297,22.22542,0.016,1.0,0.016,1.0,3.366
1364,2756,2756,51633,20,hybrid,1000,216,Mozambique,beta,781586.6828119952,840.0,781177.986976709,616,22.170221,0.016,1.0,0.016,1.0,3.366
1365,2760,2760,51633,20,hybrid,1000,216,Mozambique,alpha,921323.2142151564,1060.0,920651.48831181,356,22.195488,0.016,1.67,0.02672,1.0,3.366
1367,2762,2762,51633,20,hybrid,1000,216,Mozambique,beta,784408.8212258113,940.0,783153.4389685865,771,22.29331,0.016,1.0,0.016,1.0,3.366
1368,2764,2764,51633,20,hybrid,1000,216,Mozambique,beta,787899.9985770129,1200.0,785888.5191198825,856,22.235157,0.016,1.0,0.016,1.0,3.366
1369,2765,2765,51633,20,hybrid,1000,216,Mozambique,beta,776595.9666927683,1003.5831808,775221.4151133853,163,22.314423,0.016,1.0,0.016,1.0,3.366
1371,2770,2770,51633,20,hybrid,1000,216,Mozambique,beta,788270.1062143066,940.0,787425.2319642458,480,22.38775,0.016,1.0,0.016,1.0,3.366
1373,2772,2772,51633,20,hybrid,1000,216,Mozambique,beta,783378.4386947618,940.0,782115.5149799152,490,22.313889,0.016,1.0,0.016,1.0,3.366
1374,2776,2776,51633,20,hybrid,1000,216,Mozambique,beta,784179.3830780702,1140.0,782585.6884379748,502,22.303242,0.016,1.0,0.016,1.0,3.366
1375,2777,2777,51633,20,hybrid,1000,216,Mozambique,beta,784142.9425190305,1240.0,783319.2601282301,53,22.43782,0.016,1.0,0.016,1.0,3.366
1377,2780,2780,51633,20,hybrid,1000,216,Mozambique,delta,957149.1016793645,1320.0000000000002,955960.6058303491,956,22.022879,0.016,2.2,0.0352,1.0,3.366
1378,2785,2785,51633,20,hybrid,1000,216,Mozambique,beta,781635.3178039198,880.0,781403.3499000209,670,22.256237,0.016,1.0,0.016,1.0,3.366
1379,2787,2787,51633,20,hybrid,1000,216,Mozambique,gamma,948736.8248546614,1299.0947928556668,947173.9684381183,99,22.285097,0.016,2.0,0.032,1.0,3.366
1380,2788,2788,51633,20,hybrid,1000,216,Mozambique,beta,775426.6461699497,1060.0,774718.3487352331,115,22.259846,0.016,1.0,0.016,1.0,3.366
1382,2792,2792,51633,20,hybrid,1000,216,Mozambique,delta,961614.6934769136,1000.0,960899.1012129716,714,22.327465,0.016,2.2,0.0352,1.0,3.366
1385,2799,2799,51633,20,hybrid,1000,216,Mozambique,beta,787526.6506974631,1245.159780352,786590.0765771316,962,22.209787,0.016,1.0,0.016,1.0,3.366
1386,2800,2800,51633,20,hybrid,1000,216,Mozambique,beta,781902.4486685977,1180.0,781176.3315278797,295,22.385195,0.016,1.0,0.016,1.0,3.366
1391,2808,2808,51633,20,hybrid,1000,216,Mozambique,alpha,922571.1652560828,1260.0,921298.083147703,216,22.347265,0.016,1.67,0.02672,1.0,3.366
1393,2810,2810,51633,20,hybrid,1000,216,Mozambique,gamma,948682.4286564183,1200.0,947683.66126476,33,22.356543,0.016,2.0,0.032,1.0,3.366
1395,2814,2814,51633,20,hybrid,1000,216,Mozambique,beta,774627.4572505346,980.0,773001.5074220344,202,22.17669,0.016,1.0,0.016,1.0,3.366
1396,2816,2816,51633,20,hybrid,1000,216,Mozambique,beta,782291.366360823,1152.8391846454888,780896.927047909,925,22.311329,0.016,1.0,0.016,1.0,3.366
1397,2817,2817,51633,20,hybrid,1000,216,Mozambique,beta,786316.3632166669,980.0,785364.6392543416,792,22.330639,0.016,1.0,0.016,1.0,3.366
1398,2818,2818,51633,20,hybrid,1000,216,Mozambique,delta,959648.4754982772,1100.0,958715.4610051744,768,22.189894,0.016,2.2,0.0352,1.0,3.366
1400,2832,2832,51633,20,hybrid,1000,216,Mozambique,gamma,949152.5664442626,1120.0,948039.4842382245,552,22.247974,0.016,2.0,0.032,1.0,3.366
1401,2833,2833,51633,20,hybrid,1000,216,Mozambique,beta,784610.6087035909,1060.0,783791.1202741235,957,22.296673,0.016,1.0,0.016,1.0,3.366
1403,2837,2837,51633,20,hybrid,1000,216,Mozambique,beta,785701.2903239544,1180.0,784591.9007470354,887,22.236603,0.016,1.0,0.016,1.0,3.366
1404,2838,2838,51633,20,hybrid,1000,216,Mozambique,alpha,917876.5507097412,1040.0,916481.5252884438,830,22.179596,0.016,1.67,0.02672,1.0,3.366
1409,2845,2845,51633,20,hybrid,1000,216,Mozambique,beta,786300.2744446748,940.0,785308.7684570154,252,22.329536,0.016,1.0,0.016,1.0,3.366
1412,2851,2851,51633,20,hybrid,1000,216,Mozambique,beta,784515.4284263582,1005.159780352,783404.2967989089,711,22.372915,0.016,1.0,0.016,1.0,3.366
1415,2863,2863,51633,20,hybrid,1000,216,Mozambique,beta,783891.7455249396,1140.0,782429.6912219748,759,22.124784,0.016,1.0,0.016,1.0,3.366
1418,2868,2868,51633,20,hybrid,1000,216,Mozambique,beta,787467.2587879784,1060.0,786501.3423468638,798,22.398365,0.016,1.0,0.016,1.0,3.366
1419,2870,2870,51633,20,hybrid,1000,216,Mozambique,beta,788755.6649896568,1080.0,787764.3285183609,52,22.294456,0.016,1.0,0.016,1.0,3.366
1422,2877,2877,51633,20,hybrid,1000,216,Mozambique,delta,962163.6798935876,1340.0,960742.9970882338,964,22.29071,0.016,2.2,0.0352,1.0,3.366
1423,2879,2879,51633,20,hybrid,1000,216,Mozambique,gamma,951242.9730133354,1000.0,950552.9856210556,914,22.261183,0.016,2.0,0.032,1.0,3.366
1427,2888,2888,51633,20,hybrid,1000,216,Mozambique,beta,783750.2591697813,1080.0,783042.0298286774,946,22.369045,0.016,1.0,0.016,1.0,3.366
1428,2889,2889,51633,20,hybrid,1000,216,Mozambique,beta,787827.8445713446,1160.0,786649.0420076372,681,22.308668,0.016,1.0,0.016,1.0,3.366
1430,2895,2895,51633,20,hybrid,1000,216,Mozambique,beta,787014.3866163814,1100.0,786071.8784818688,650,22.299444,0.016,1.0,0.016,1.0,3.366
1431,2901,2901,51633,20,hybrid,1000,216,Mozambique,beta,782724.6821147893,1127.9470215161446,781816.2413518152,461,22.194307,0.016,1.0,0.016,1.0,3.366
