,Unnamed: 0,Unnamed: 0.1,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
473,937,937,51633,20,hybrid,1000,216,Gambia,gamma,996887.3808760676,980.0,996064.2354035224,18,22.229374,0.016,2.0,0.032,1.0,7.228999999999999
474,940,940,51633,20,hybrid,1000,216,Gambia,alpha,983535.4988394396,940.0,982735.3386790282,129,22.238213,0.016,1.67,0.02672,1.0,7.228999999999999
479,949,949,51633,20,hybrid,1000,216,Gambia,delta,1004241.1752604562,1020.0,1003420.133316584,252,22.239246,0.016,2.2,0.0352,1.0,7.228999999999999
481,951,951,51633,20,hybrid,1000,216,Gambia,gamma,997672.583708002,1000.0,996768.5599237164,145,22.180674,0.016,2.0,0.032,1.0,7.228999999999999
484,957,957,51633,20,hybrid,1000,216,Gambia,alpha,979136.8512700328,1240.0,977868.031664813,143,22.201782,0.016,1.67,0.02672,1.0,7.228999999999999
485,958,958,51633,20,hybrid,1000,216,Gambia,beta,903283.4830672728,940.0,902106.1792857932,738,22.156267,0.016,1.0,0.016,1.0,7.228999999999999
488,963,963,51633,20,hybrid,1000,216,Gambia,alpha,983051.4623864052,1360.0,981655.2217863492,450,22.205078,0.016,1.67,0.02672,1.0,7.228999999999999
490,970,970,51633,20,hybrid,1000,216,Gambia,alpha,982234.7971475238,900.0,981291.3025553012,667,22.20982,0.016,1.67,0.02672,1.0,7.228999999999999
491,976,976,51633,20,hybrid,1000,216,Gambia,alpha,982655.4442291536,1000.0,981932.2822466514,614,22.251368,0.016,1.67,0.02672,1.0,7.228999999999999
494,981,981,51633,20,hybrid,1000,216,Gambia,alpha,979160.654892382,1080.0,977702.2579045008,404,22.155716,0.016,1.67,0.02672,1.0,7.228999999999999
497,988,988,51633,20,hybrid,1000,216,Gambia,alpha,982873.429631398,820.0,982288.5435889688,654,22.299713,0.016,1.67,0.02672,1.0,7.228999999999999
499,995,995,51633,20,hybrid,1000,216,Gambia,alpha,981581.952127313,1360.0,980306.9701253716,797,22.265335,0.016,1.67,0.02672,1.0,7.228999999999999
501,999,999,51633,20,hybrid,1000,216,Gambia,alpha,983414.5962735428,1060.0,982393.8530091202,152,22.28708,0.016,1.67,0.02672,1.0,7.228999999999999
502,1001,1001,51633,20,hybrid,1000,216,Gambia,alpha,981149.3220868245,1200.0,979797.5488769268,387,22.186201,0.016,1.67,0.02672,1.0,7.228999999999999
505,1005,1005,51633,20,hybrid,1000,216,Gambia,delta,1002879.4258493112,960.0,1001985.4218980348,18,22.229374,0.016,2.2,0.0352,1.0,7.228999999999999
506,1008,1008,51633,20,hybrid,1000,216,Gambia,alpha,980298.1523405703,1320.0,979296.4562341452,71,22.161026,0.016,1.67,0.02672,1.0,7.228999999999999
510,1019,1019,51633,20,hybrid,1000,216,Gambia,alpha,981567.6271134344,1240.0,980285.4268326428,788,22.164871,0.016,1.67,0.02672,1.0,7.228999999999999
511,1020,1020,51633,20,hybrid,1000,216,Gambia,alpha,981844.5134639553,1220.0000000000002,980742.3732792892,863,22.151766,0.016,1.67,0.02672,1.0,7.228999999999999
512,1021,1021,51633,20,hybrid,1000,216,Gambia,delta,1003065.8084011768,900.0,1002141.3218776454,91,22.073744,0.016,2.2,0.0352,1.0,7.228999999999999
513,1022,1022,51633,20,hybrid,1000,216,Gambia,alpha,981979.4563581347,900.0,981143.1109285536,983,22.16546,0.016,1.67,0.02672,1.0,7.228999999999999
514,1023,1023,51633,20,hybrid,1000,216,Gambia,alpha,980364.8651790976,1000.0,979556.9933860864,57,22.119993,0.016,1.67,0.02672,1.0,7.228999999999999
517,1027,1027,51633,20,hybrid,1000,216,Gambia,alpha,979744.4009532062,840.0,978923.1954430442,538,22.069008,0.016,1.67,0.02672,1.0,7.228999999999999
518,1028,1028,51633,20,hybrid,1000,216,Gambia,alpha,981839.439084029,820.0,980804.2904437992,907,22.21801,0.016,1.67,0.02672,1.0,7.228999999999999
521,1033,1033,51633,20,hybrid,1000,216,Gambia,gamma,997192.995537546,920.0,996376.2775249104,798,22.320517,0.016,2.0,0.032,1.0,7.228999999999999
522,1035,1035,51633,20,hybrid,1000,216,Gambia,alpha,979534.4335343576,988.880691975396,978472.7280050932,274,22.00292,0.016,1.67,0.02672,1.0,7.228999999999999
523,1038,1038,51633,20,hybrid,1000,216,Gambia,delta,1003516.3255902048,1340.0,1002251.5723997796,250,22.134771,0.016,2.2,0.0352,1.0,7.228999999999999
538,1064,1064,51633,20,hybrid,1000,216,Gambia,delta,1003621.8874430938,1260.0,1002395.5625536472,988,22.092232,0.016,2.2,0.0352,1.0,7.228999999999999
539,1066,1066,51633,20,hybrid,1000,216,Gambia,alpha,980975.0915119334,1100.0,979892.0904834344,435,22.1289,0.016,1.67,0.02672,1.0,7.228999999999999
541,1068,1068,51633,20,hybrid,1000,216,Gambia,delta,1003375.3124979656,1060.0,1002350.3573727744,329,22.049541,0.016,2.2,0.0352,1.0,7.228999999999999
542,1069,1069,51633,20,hybrid,1000,216,Gambia,alpha,980930.6296528552,1040.0,979859.1186150104,925,22.228378,0.016,1.67,0.02672,1.0,7.228999999999999
545,1076,1076,51633,20,hybrid,1000,216,Gambia,beta,902227.8425205732,1100.0,901442.3088957584,447,22.265844,0.016,1.0,0.016,1.0,7.228999999999999
548,1086,1086,51633,20,hybrid,1000,216,Gambia,alpha,983009.54319101,1000.0,981987.168622908,465,22.216974,0.016,1.67,0.02672,1.0,7.228999999999999
554,1097,1097,51633,20,hybrid,1000,216,Gambia,alpha,980930.6296528552,1040.0,979859.1186150104,925,22.228378,0.016,1.67,0.02672,1.0,7.228999999999999
557,1101,1101,51633,20,hybrid,1000,216,Gambia,alpha,983138.9619897902,1080.0,982018.3634627112,665,22.165237,0.016,1.67,0.02672,1.0,7.228999999999999
560,1105,1105,51633,20,hybrid,1000,216,Gambia,alpha,980794.744888778,1080.0,979353.415694313,360,22.255249,0.016,1.67,0.02672,1.0,7.228999999999999
561,1107,1107,51633,20,hybrid,1000,216,Gambia,beta,902692.6643421522,1000.0,901784.163395244,5,22.324831,0.016,1.0,0.016,1.0,7.228999999999999
562,1111,1111,51633,20,hybrid,1000,216,Gambia,alpha,981239.1832507128,960.0,980236.2026966752,626,22.179836,0.016,1.67,0.02672,1.0,7.228999999999999
564,1114,1114,51633,20,hybrid,1000,216,Gambia,alpha,979880.228111056,1120.0,978809.1883878636,944,22.278208,0.016,1.67,0.02672,1.0,7.228999999999999
