,Unnamed: 0,Unnamed: 0.1,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
0,0,0,51633,20,hybrid,1000,216,Oman,gamma,1013685.7540476862,1360.0,1012463.155107042,737,30.09355,0.016,2.0,0.032,1.0,7.017
2,3,3,51633,20,hybrid,1000,216,Oman,gamma,1014533.761778948,1440.0,1013302.965321568,695,29.87296,0.016,2.0,0.032,1.0,7.017
5,9,9,51633,20,hybrid,1000,216,Oman,gamma,1013846.101557066,1560.0,1012208.6176755852,577,29.885288,0.016,2.0,0.032,1.0,7.017
6,11,11,51633,20,hybrid,1000,216,Oman,gamma,1013953.182229558,1540.0,1012246.7761048904,815,29.99112,0.016,2.0,0.032,1.0,7.017
8,14,14,51633,20,hybrid,1000,216,Oman,gamma,1013523.5268458304,1400.0,1012012.4413043445,934,29.874065,0.016,2.0,0.032,1.0,7.017
11,18,18,51633,20,hybrid,1000,216,Oman,gamma,1014550.129301887,1540.0,1013001.4866564794,887,29.9755,0.016,2.0,0.032,1.0,7.017
14,28,28,51633,20,hybrid,1000,216,Oman,gamma,1014409.3174721156,1560.0,1013012.7937029948,795,29.991665,0.016,2.0,0.032,1.0,7.017
16,30,30,51633,20,hybrid,1000,216,Oman,gamma,1014201.4095536426,1320.0,1012871.5105593256,127,30.017315,0.016,2.0,0.032,1.0,7.017
20,35,35,51633,20,hybrid,1000,216,Oman,gamma,1014120.1686367352,1540.0,1012621.8291631184,145,29.947073,0.016,2.0,0.032,1.0,7.017
21,36,36,51633,20,hybrid,1000,216,Oman,gamma,1014529.5563257914,1540.0,1012984.6607646048,353,30.07502,0.016,2.0,0.032,1.0,7.017
25,46,46,51633,20,hybrid,1000,216,Oman,gamma,1013966.1897395162,1560.0,1012349.9224156742,197,29.902548,0.016,2.0,0.032,1.0,7.017
27,50,50,51633,20,hybrid,1000,216,Oman,beta,958570.3177970268,1140.0,957749.3238319176,492,29.965187,0.016,1.0,0.016,1.0,7.017
28,51,51,51633,20,hybrid,1000,216,Oman,alpha,1005157.9936266968,1260.0,1003828.417450057,639,29.956188,0.016,1.67,0.02672,1.0,7.017
30,53,53,51633,20,hybrid,1000,216,Oman,gamma,1014070.2448362232,1400.0,1012458.2685860684,832,30.034477,0.016,2.0,0.032,1.0,7.017
33,62,62,51633,20,hybrid,1000,216,Oman,delta,1016975.7803270052,1280.0,1015678.9468332176,273,30.071226,0.016,2.2,0.0352,1.0,7.017
35,65,65,51633,20,hybrid,1000,216,Oman,gamma,1013846.8001153535,1300.0,1012499.4648072555,376,30.03098,0.016,2.0,0.032,1.0,7.017
36,66,66,51633,20,hybrid,1000,216,Oman,alpha,1006067.9040214889,1460.0,1004557.5183116584,911,30.012693,0.016,1.67,0.02672,1.0,7.017
38,69,69,51633,20,hybrid,1000,216,Oman,gamma,1014054.2649354088,1200.0,1012949.7708815684,190,29.94665,0.016,2.0,0.032,1.0,7.017
41,77,77,51633,20,hybrid,1000,216,Oman,gamma,1014266.0864010174,1580.0,1012791.4128103076,985,29.929508,0.016,2.0,0.032,1.0,7.017
42,79,79,51633,20,hybrid,1000,216,Oman,gamma,1013986.9054483802,1480.0,1012585.6885034528,65,29.949678,0.016,2.0,0.032,1.0,7.017
43,84,84,51633,20,hybrid,1000,216,Oman,delta,1017852.7661104816,1380.0,1016481.2272310648,200,29.985256,0.016,2.2,0.0352,1.0,7.017
44,86,86,51633,20,hybrid,1000,216,Oman,gamma,1013108.7586809124,980.0,1011914.6601484744,942,29.923594,0.016,2.0,0.032,1.0,7.017
46,91,91,51633,20,hybrid,1000,216,Oman,gamma,1014281.7824951104,1580.0,1012937.5896568446,398,29.959427,0.016,2.0,0.032,1.0,7.017
50,98,98,51633,20,hybrid,1000,216,Oman,gamma,1013494.4018191324,1640.0,1012027.8032962343,411,30.023844,0.016,2.0,0.032,1.0,7.017
52,101,101,51633,20,hybrid,1000,216,Oman,gamma,1014063.5136908332,1580.0,1012572.0779700236,249,30.043375,0.016,2.0,0.032,1.0,7.017
54,104,104,51633,20,hybrid,1000,216,Oman,delta,1017930.0178297396,1320.0,1016652.9719739952,619,29.920393,0.016,2.2,0.0352,1.0,7.017
57,114,114,51633,20,hybrid,1000,216,Oman,gamma,1014339.5367938832,1180.0,1013162.3250428304,385,29.906683,0.016,2.0,0.032,1.0,7.017
61,125,125,51633,20,hybrid,1000,216,Oman,gamma,1013990.7662112184,1420.0,1012409.584382394,690,29.941467,0.016,2.0,0.032,1.0,7.017
63,127,127,51633,20,hybrid,1000,216,Oman,gamma,1013667.2831473532,1540.0,1012202.3497765034,176,29.994022,0.016,2.0,0.032,1.0,7.017
64,128,128,51633,20,hybrid,1000,216,Oman,gamma,1015377.5716310956,1680.0,1013711.6246820658,489,29.997957,0.016,2.0,0.032,1.0,7.017
69,143,143,51633,20,hybrid,1000,216,Oman,gamma,1014737.5602512744,1560.0,1013365.489407522,689,29.965563,0.016,2.0,0.032,1.0,7.017
70,144,144,51633,20,hybrid,1000,216,Oman,gamma,1013650.4103221664,1460.0,1012288.5914918676,716,29.803162,0.016,2.0,0.032,1.0,7.017
71,145,145,51633,20,hybrid,1000,216,Oman,gamma,1015207.6505794176,1680.0,1013572.8834208456,103,30.005325,0.016,2.0,0.032,1.0,7.017
72,146,146,51633,20,hybrid,1000,216,Oman,gamma,1012545.2673836916,1420.0,1011098.8033163928,134,29.878342,0.016,2.0,0.032,1.0,7.017
73,147,147,51633,20,hybrid,1000,216,Oman,alpha,1005667.6326847386,1720.0,1003821.8316703668,832,30.034477,0.016,1.67,0.02672,1.0,7.017
75,156,156,51633,20,hybrid,1000,216,Oman,gamma,1012570.624027668,1620.0,1011067.6952271182,876,29.935965,0.016,2.0,0.032,1.0,7.017
79,171,171,51633,20,hybrid,1000,216,Oman,gamma,1013408.5788755338,1600.0,1011688.1477802632,245,29.961678,0.016,2.0,0.032,1.0,7.017
