,Unnamed: 0,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
5051,5051,51633,20,hybrid,1000,216,Oman,delta,1018757.1425971224,1675.2666656078695,1017016.2800388368,191,30.145168,0.016,2.2,0.0352,1.0,7.017
5052,5052,51633,20,hybrid,1000,216,Oman,delta,1016152.6476946324,1520.0,1014535.6210666526,207,29.92674,0.016,2.2,0.0352,1.0,7.017
5053,5053,51633,20,hybrid,1000,216,Bangladesh,delta,993852.1643289842,2480.0,991256.4218314972,93,30.151184,0.016,2.2,0.0352,1.0,3.4690000000000003
5054,5054,51633,20,hybrid,1000,216,Bangladesh,alpha,967853.224635947,3000.0,965061.175634356,957,30.165955,0.016,1.67,0.02672,1.0,3.4690000000000003
5055,5055,51633,20,hybrid,1000,216,Bangladesh,delta,991771.5540658536,2340.0,989407.3818573076,391,30.009645,0.016,2.2,0.0352,1.0,3.4690000000000003
5056,5056,51633,20,hybrid,1000,216,Oman,gamma,1015054.9691719234,1700.0,1013535.1105147168,511,30.159409,0.016,2.0,0.032,1.0,7.017
5058,5058,51633,20,hybrid,1000,216,Bangladesh,delta,992774.5427656408,2260.0,990591.3252249388,173,30.131536,0.016,2.2,0.0352,1.0,3.4690000000000003
5060,5060,51633,20,hybrid,1000,216,Oman,gamma,1015172.8021053514,1380.0,1013761.5515099214,283,30.000685,0.016,2.0,0.032,1.0,7.017
5062,5062,51633,20,hybrid,1000,216,Bangladesh,delta,993264.6056680792,2800.0,990477.2639599142,477,30.042301,0.016,2.2,0.0352,1.0,3.4690000000000003
5063,5063,51633,20,hybrid,1000,216,Bangladesh,delta,991521.6495872632,2500.0,988937.5149330576,648,30.277298,0.016,2.2,0.0352,1.0,3.4690000000000003
5064,5064,51633,20,hybrid,1000,216,Bangladesh,delta,992799.9787878332,2380.0,990252.1208901466,308,30.037468,0.016,2.2,0.0352,1.0,3.4690000000000003
5066,5066,51633,20,hybrid,1000,216,Oman,alpha,1006758.2881667614,1380.0,1005209.4332333974,940,30.015785,0.016,1.67,0.02672,1.0,7.017
5067,5067,51633,20,hybrid,1000,216,Bangladesh,delta,993179.3567551986,2816.88510988089,990422.8990887431,611,30.125557,0.016,2.2,0.0352,1.0,3.4690000000000003
