,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
652,51633,20,hybrid,1000,216,Bangladesh,delta,993897.3546016323,2560.0,991375.9797846437,584,30.232899,0.016,2.2,0.0352,1.0,3.4690000000000003
653,51633,20,hybrid,1000,216,Mozambique,beta,784802.3791679483,1179.0309210678886,783669.8383259452,584,22.344482,0.016,1.0,0.016,1.0,3.3659999999999997
654,51633,20,hybrid,1000,216,Mozambique,beta,783460.4997131879,1000.0,782077.7523891567,523,22.290403,0.016,1.0,0.016,1.0,3.3659999999999997
655,51633,20,hybrid,1000,216,Gambia,alpha,979881.0601195025,1160.0,978683.0724709667,347,22.165424,0.016,1.67,0.02672,1.0,7.228999999999999
656,51633,20,hybrid,1000,216,Gambia,beta,903021.5725449284,920.0,901805.1092545997,825,22.179167,0.016,1.0,0.016,1.0,7.228999999999999
657,51633,20,hybrid,1000,216,Mozambique,beta,783672.9628994553,1078.4884258895036,782876.0989816627,762,22.233198,0.016,1.0,0.016,1.0,3.3659999999999997
658,51633,20,hybrid,1000,216,Mozambique,gamma,951121.9304949085,1260.0,949836.4667405493,170,22.21445,0.016,2.05,0.032799999999999996,1.0,3.3659999999999997
659,51633,20,hybrid,1000,216,Oman,gamma,1015213.2096857077,1520.0,1013798.6014118819,614,30.032024,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
660,51633,20,hybrid,1000,216,Oman,gamma,1015954.7163203387,1020.0,1015002.9996014588,851,30.042051,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
661,51633,20,hybrid,1000,216,Oman,gamma,1014760.2469974782,1400.0,1013325.7290726916,532,29.928772,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
662,51633,20,hybrid,1000,216,Bangladesh,delta,991922.2479797758,2780.0,989235.1792347778,645,30.096289,0.016,2.2,0.0352,1.0,3.4690000000000003
663,51633,20,hybrid,1000,216,Oman,gamma,1013422.8715021892,1280.0,1012287.011901241,683,29.923288,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
664,51633,20,hybrid,1000,216,Bangladesh,delta,991894.8115430598,2680.0,989179.7616492445,537,30.22859,0.016,2.2,0.0352,1.0,3.4690000000000003
