,control,treatment,intensity,ate,ci_low,ci_high
114,7,8,12,-0.6252908698337478,-16.633085203954636,15.38250346428714
115,8,9,12,-0.5697077289087815,-18.13279022679427,16.993374768976707
116,9,10,12,-0.5307995302613904,-20.161775051364486,19.100175990841706
117,1,2,13,-7.378642492215931,-28.324569726565187,13.567284742133324
118,2,3,13,-2.709658654519558,-22.052605303921496,16.63328799488238
119,3,4,13,-1.542412695095436,-19.518911869390536,16.434086479199664
120,4,5,13,-1.0755143113260601,-18.16831866989287,16.01729004724075
121,5,6,13,-0.8420651194410311,-17.683477997062027,15.999347758179965
122,6,7,13,-0.708665581221112,-17.98859788870118,16.571266726258955
123,7,8,13,-0.6252908698337478,-19.000371980537466,17.74979024086997
124,8,9,13,-0.569707728908952,-20.5992290332332,19.459813575415296
125,9,10,13,-0.5307995302612198,-22.65487001642896,21.59327095590652
126,1,2,14,-7.378642492216045,-30.32363663530839,15.5663516508763
127,2,3,14,-2.709658654519558,-24.41936770763425,19.000050398595135
128,3,4,14,-1.542412695095436,-22.35681312123677,19.271987731045897
129,4,5,14,-1.0755143113259464,-21.474715641664602,19.32368701901271
130,5,6,14,-0.8420651194411448,-21.383064154658655,19.698933915776365
131,6,7,14,-0.708665581221112,-21.95823357837253,20.540902415930304
132,7,8,14,-0.6252908698337478,-23.10765371588559,21.857071976218094
133,8,9,14,-0.5697077289088384,-24.73540473325727,23.595989275439592
134,9,10,14,-0.5307995302613335,-26.74746326216325,25.685864201640584
135,1,2,15,-7.378642492216045,-34.13087918226552,19.373594197833427
136,2,3,15,-2.709658654519558,-28.63698022963797,23.217662920598855
137,3,4,15,-1.542412695095436,-27.042415426409207,23.957590036218335
138,4,5,15,-1.0755143113259464,-26.58007596614152,24.42904734348963
139,5,6,15,-0.8420651194411448,-26.807796364306114,25.123666125423824
140,6,7,15,-0.708665581221112,-27.580783710990545,26.16345254854832
141,7,8,15,-0.6252908698337478,-28.812496964083493,27.561915224415998
142,8,9,15,-0.5697077289088384,-30.430425062116342,29.291009604298665
143,9,10,15,-0.5307995302613335,-32.36915735084915,31.307558290326483
144,1,2,16,-7.378642492216045,-39.72917583196795,24.97189084753586
145,2,3,16,-2.709658654519558,-34.60204449801222,29.182727188973104
146,3,4,16,-1.542412695095436,-33.39313515126673,30.30830976107586
147,4,5,16,-1.0755143113259464,-33.255186525977024,31.10415790332513
148,5,6,16,-0.8420651194410311,-33.717241878906066,32.033111640024
149,6,7,16,-0.7086655812212257,-34.62845648255586,33.21112532011341
150,7,8,16,-0.6252908698337478,-35.910796044480776,34.66021430481328
151,8,9,16,-0.5697077289088384,-37.508216762277584,36.36880130445991
152,9,10,16,-0.5307995302612198,-39.374044276785185,38.312445216262745
