,Unnamed: 0,G_Na,G_si,G_K,G_K1,G_Kp,G_b,max_voltage,rest_voltage,max_voltage_gradient,dome_voltage,APD50,APD90
0,0,0.7805962246349216,0.7192708902415658,0.6589416570283853,0.3506730280815829,0.37936309752966063,0.5453482271360824,50.24757989232712,-83.68221270907476,365.59849422705935,13.31045816497185,264,374
1,1,0.6375967866236806,0.14923164686305607,0.22791745089005458,0.05460892278127592,0.9020267632664649,0.9519160791565837,49.98080070045627,-82.45170494217125,345.39174128488355,2.1240888757957213,190,311
2,2,0.49548057248114125,0.6549557977068193,0.3099061601882135,0.8371009014953641,0.05870430866487528,0.9351042077006061,46.46579198614921,-84.13627402052818,339.0909845063262,10.875964411302174,261,359
3,3,0.0974582461419973,0.18569645100943966,0.690032791997369,0.7790359058591796,0.6476293708749148,0.5089138720743581,41.00666036454929,-84.72186137526083,289.4828500164146,41.00666036454929,228,300
4,4,0.07508165327866188,0.3539407486823787,0.22880822133504358,0.27527093577143374,0.2004234072298568,0.9176656780855291,42.607650086357424,-83.10208242277868,289.07188421069884,6.865519095769612,238,339
5,5,0.40554028402472847,0.8714375347615536,0.12245512456952688,0.067269651105527,0.03650403138178791,0.5520519352879972,47.57043273148879,-82.79665031096958,333.3410533098762,17.530331596327574,322,468
6,6,0.7347479564296349,0.2843498260391881,0.8982850935590754,0.7304193050106543,0.14168520755213926,0.24721484516855063,48.47155097267398,-84.92970652086683,363.57485731322737,48.47155097267398,233,313
7,7,0.1851373580471218,0.8633340552969704,0.2953936859341099,0.8329356597510619,0.6122771188289994,0.26458365007482687,42.07236846059235,-84.79009821344843,306.12591276036227,16.952901234743397,346,441
8,8,0.6549442426951183,0.08885585681307774,0.0,0.4029318300206766,0.9081707389821988,0.3409441770525365,48.49821121527826,-84.39702667068872,329.87223537561795,6.994333779742179,251,358
9,9,0.8840696236310023,0.6606470167803149,0.8913105643599298,0.4952204972251371,0.48614956864549685,0.22554409897102615,50.32318385322532,-84.43802276714428,346.495109821425,14.770209024571605,268,364
10,10,0.2390250047639605,0.11951729904205413,0.5502513082442424,0.8195366752399895,0.5085398610398414,0.07043947982353892,42.65774305967594,-85.32509664324535,316.5626456324734,10.18236265601946,257,327
11,11,0.10852978456239061,0.39938711188809883,0.10971370720415283,0.2413168696434782,0.04781780847196727,0.9249568424984954,43.321149876400455,-82.98067746028003,299.07537161657586,8.095370523034214,248,357
12,12,0.8123875325337727,0.9944661467579348,0.6447370542501745,0.8515772338553101,0.7257298232873439,0.797065227765006,49.3117829899338,-84.19662088717908,348.6292254562718,12.677173892463166,277,382
13,13,0.9003837191743447,0.3099694859036987,0.5469773656306766,0.9007488512813853,0.05657532214338877,0.8918174305689472,50.0816198529548,-84.39036368259261,350.23919930483515,6.511307173903208,206,297
14,14,0.2925132617558875,0.7447768826474125,0.13908567314684034,0.81065685534797,0.7883385116357484,0.016598734229205287,43.30222252317196,-85.06200723964628,318.6416214342396,17.487461990232582,366,468
15,15,0.1483808574785142,0.39274517764862005,0.08496078445326538,0.9695299077560432,0.6208391906818659,0.11861339778531167,41.12763371405479,-85.3257384490243,312.20857782601365,41.12763371405479,325,405
16,16,0.3260462388876676,0.9881894303336857,0.7629346205346726,0.42937044346661146,0.22956861482427154,0.16057738193467128,44.941489950068814,-84.21219542672122,328.95193817167814,20.69451706662107,322,418
17,17,0.9257188090339026,0.2245187134942502,0.12761332770626613,0.008267512822956092,0.9764779304156151,0.21487389096882406,51.7885077833832,-83.62080911729197,364.3436226810087,9.286551943604463,262,391
18,18,0.21262329038103933,0.7628917996584086,0.3830402340683331,0.08929698138649989,0.2929790407619615,0.44172522243233375,44.78689943448264,-83.13370966981455,309.21003891570547,15.590974132843884,305,424
