,G_Na,G_si,G_K,G_K1,G_Kp,G_b,max_voltage,rest_voltage,max_voltage_gradient,dome_voltage,APD50,APD90
42,24.462083656683184,0.08382242835044171,0.3177596016387496,0.5540482070945156,0.01757354286235269,0.03496022875169507,48.57454603439278,-84.19346823189926,333.5434245099406,11.268810021769966,244,339
43,23.411749466875392,0.08206661464227412,0.3454729030506665,0.6907106346402042,0.01866990743808848,0.04481218863867455,46.77617456211507,-84.33180052337455,342.60825976339413,5.619579240297152,203,285
44,26.145270003609827,0.09827030854015359,0.2859446701729783,0.5128878977599285,0.020080107047629678,0.03636067283005568,50.37326521779147,-83.61236737953148,365.6619434997437,13.528308910072276,281,400
45,24.711134917729034,0.07843651114544326,0.3275001316248597,0.62950872258055,0.016524608289298144,0.04277644933949942,48.50239728664947,-84.15219650753174,331.6377320857762,6.330977857470047,203,291
46,23.29358329991569,0.11051252715041632,0.2960780143568573,0.5319827038795526,0.015482545035480905,0.03594866133738925,47.9632878390063,-83.62525192980807,334.04585240413127,19.032040215441206,311,426
47,27.341603041529943,0.09332941962463688,0.30983637026324,0.5939609160911259,0.019098284949978582,0.03842779393455151,50.58186439327597,-84.10865610380264,366.82060511511474,11.595150439876921,253,356
48,18.56184094072149,0.10568702505004086,0.3405598390126463,0.7433058762782707,0.017869904755272774,0.04354321346968325,41.09016431075424,-84.490314921574,293.1168877551919,41.09016431075424,271,348
49,22.70882937488918,0.08664438054859853,0.2852089400173035,0.5228523138421121,0.021277031891976446,0.03151377126640732,46.934313017449185,-84.21436639078871,325.32674811613947,12.355908838946325,280,382
50,21.649527277337654,0.10855435721055173,0.25862297280028435,0.7318212029863211,0.016709124206746074,0.04654994069814947,44.9075973498851,-84.24472041833985,332.53717817478804,13.179027985386648,294,394
51,21.329641055357655,0.09588914491489241,0.21784277874541838,0.6952009061552822,0.02195686568520154,0.03720315918607392,44.28955634678111,-84.71643656267585,320.4418724989334,12.535006813931783,324,428
52,18.02830211580122,0.09772593233528543,0.25480839193745075,0.49029169714372733,0.021452559762407536,0.03949720055402686,42.41814947677973,-83.16607548439022,283.67622090443945,11.786600928388957,299,416
53,24.230165953439496,0.08797906824574628,0.32593581061346016,0.6533455926639133,0.02048599404711881,0.044256699190787535,47.84356406695909,-84.1226123596487,331.1808126328891,7.165619537440485,222,313
54,20.05877167989179,0.07929007422039243,0.2643091905743511,0.5869208673500901,0.016928387606987033,0.04063042627270754,44.1300854567513,-84.0434964382024,316.46630610997875,44.1300854567513,242,334
55,24.35084650585134,0.09372372230726014,0.22643982570099863,0.46927436389199,0.014151710559658697,0.04079013817894277,49.86273417842912,-82.87941019477732,336.8062899188835,13.848903925604898,283,420
56,26.822134394357462,0.0813644060833861,0.3007638773850982,0.4765809895129608,0.017184979112141938,0.032524955378333026,51.047865849174954,-83.83188894496195,369.9631616085976,12.151246439926481,248,354
57,20.268192968141065,0.10297428532765396,0.2900410286690476,0.7200776180481605,0.015110089952188637,0.04364533378455709,43.40304425052258,-84.39337927274357,314.39526473686016,13.5409623091036,281,368
58,25.80869013760751,0.07691316554544805,0.29260396306729364,0.6608388037263189,0.019165113591298712,0.04174880951427072,48.965636610657974,-84.42160109902552,343.75964036521947,5.954811229190242,212,302
59,27.475336638647065,0.06979847915413705,0.2491098383743855,0.5461894952253339,0.022126250442878838,0.03528025854419789,50.78120290701615,-84.27813665977699,371.4903673686134,6.391997019773298,227,332
60,25.15070239956531,0.07607710841004867,0.23424698610836436,0.5345129000566339,0.02178028973231723,0.036851842973716464,49.2996964764695,-84.00960901349754,354.423488714233,7.724266288210436,248,360
61,23.939164741942555,0.09491659586367704,0.23242869426353013,0.4632634723432067,0.020446087005689235,0.035339995593694336,49.04855456634753,-83.27552470932481,349.46572340479196,13.623290886851713,307,446
62,28.31828586138225,0.09183523788335085,0.35175889730087273,0.5780126520872984,0.017932067824611563,0.03760994711825342,51.36423950150712,-84.07315728338608,378.3870753631746,11.604964656912419,236,334
63,25.907934419309882,0.10776932101830064,0.30756897326710186,0.7101391990057997,0.021323055343141422,0.04438361401914305,48.746726667092524,-84.26882805943625,351.5552607596625,11.596810293264507,269,370
64,20.54120438961111,0.0703895711016147,0.35095708348710186,0.6604737636992539,0.013749355480744907,0.043241867707993216,44.20193463145108,-84.35098800021431,324.468407258356,3.8928170282060153,184,258
65,26.898152417371143,0.11238769723632516,0.27639902867094157,0.7509720761077228,0.0195033789159113,0.04671880882903963,49.30514720684729,-84.3015027553058,359.2991254789772,12.641047607588392,283,390
66,17.335472759029614,0.08774581982060746,0.31198937531207804,0.5507789020614264,0.017402972387749027,0.03744891205177526,40.81055107854725,-83.9417010092194,296.3363820231234,11.241830131029912,262,347
67,27.044207619034147,0.0864219097640493,0.32857973779491545,0.5680316604472284,0.019772219043221458,0.035631848915324185,50.43457696089767,-84.21188916641496,363.8505603957798,10.628216360651686,240,338
68,17.54364220709543,0.1071681897962644,0.32848349325874704,0.5822535060408551,0.01727419679866707,0.032657503453865824,40.684270369703064,-84.26679236789269,287.2359610262893,18.417748104650602,315,401
69,18.873733596723206,0.08226860049338414,0.27549027765279294,0.591291258218497,0.01802357755541114,0.03217013101981744,42.232277327341535,-84.64261386785856,301.47984365652417,42.232277327341535,282,366
70,27.76958366737597,0.07950375154540647,0.2845788546873992,0.6248752516732394,0.01887201557146243,0.041794433787725044,50.72565257509714,-84.19539024814394,369.1940728105423,6.8707714556237915,217,316
71,22.442543231992122,0.07153388382419568,0.2607258469490453,0.5892917940564024,0.015055543342098798,0.030234089653267387,46.15989833821765,-84.8775378343455,340.3800447153264,11.974856374716577,261,347
72,20.824709409138606,0.07336476586984002,0.32193650145587693,0.7229889169627686,0.017459115061006593,0.04466246147691477,43.909185322821614,-84.56375696819556,321.30271920912804,3.508029557207563,195,269
73,26.93648868552016,0.10272361766221372,0.31440810580000783,0.6501481233409026,0.022753315201996145,0.035100245845717436,49.53520598017968,-84.55998592154737,359.700686674,13.62124767587622,286,386
74,28.422657545243215,0.1061079449101639,0.21905334035324464,0.5958286118898483,0.017378408577423805,0.033769974384895304,51.109939857896094,-84.2205657521102,363.5695987378864,18.989205211183133,350,494
75,22.772021656890594,0.08924686382784988,0.33411688431975545,0.7042619577061746,0.02252888652528548,0.03854172682839306,45.71212831838265,-84.73942063529894,339.2690142424556,9.087654614883535,245,326
