,Unnamed: 0,Unnamed: 0.1,G_Na,G_si,G_K,G_K1,G_Kp,G_b,max_voltage_gradient,max_voltage,dome_voltage,APD90,rest_voltage,APD50,APDr_slope,min_di
90,90,90,0.7566,0.5642,0.3281,0.5147,0.7484,0.2018,450.2698,49.0969,13.5241,407.0213,-84.8333,366.6366,1.2642,5.4319
91,91,91,0.912,0.9743,0.865,0.2842,0.8267,0.8508,465.9878,51.6979,11.3596,374.5117,-83.2151,328.9979,1.0243,6.1982
92,92,92,0.0733,0.794,0.6486,0.9803,0.6649,0.8736,356.1575,40.4392,10.3109,354.1683,-84.5663,321.1658,1.5353,8.4467
93,93,93,0.1882,0.9652,0.3215,0.1909,0.5814,0.278,372.8506,43.8782,17.5012,472.033,-83.9446,410.3457,1.1096,5.628
94,94,94,0.7341,0.6299,0.6123,0.8414,0.733,0.6222,446.8879,48.4434,10.5059,354.1784,-84.7215,320.6676,1.4224,5.4057
95,95,95,0.681,0.3452,0.219,0.0451,0.4598,0.7728,436.7133,50.524,7.3995,358.6472,-82.8313,313.8655,0.9961,5.3074
96,96,96,0.7775,0.4749,0.5516,0.35,0.878,0.9445,449.6885,50.455,6.0411,331.4036,-83.3618,294.0225,1.2925,5.9065
97,97,97,0.5032,0.9251,0.9597,0.7501,0.0264,0.9013,416.0486,46.867,13.3585,348.516,-84.1426,310.2403,1.4973,8.6409
98,98,98,0.3961,0.0085,0.8241,0.6742,0.9654,0.3698,403.1627,44.9955,4.5361,282.7187,-84.9498,257.1246,2.1054,6.9771
99,99,99,0.6188,0.1624,0.2598,0.1752,0.0551,0.1529,432.3416,48.8796,12.4165,366.1126,-84.4046,324.0284,1.0694,6.429
100,100,100,0.8408,0.4507,0.6506,0.9423,0.5251,0.7948,459.8006,49.3111,7.8084,317.3165,-84.673,288.4856,1.5167,6.2163
101,101,101,0.6559,0.5305,0.3008,0.5646,0.3755,0.0901,438.0126,48.0086,16.0024,411.1712,-85.0736,369.8526,1.2549,5.3151
102,102,102,0.5208,0.0591,0.9694,0.2634,0.0657,0.1474,419.7982,47.5661,10.2594,298.5317,-84.6106,264.2449,1.7436,6.6294
103,103,103,0.2831,0.6417,0.0679,0.6005,0.676,0.3355,387.1908,43.9381,13.7922,438.119,-84.7525,394.8733,1.205,4.5565
104,104,104,0.6981,0.8853,0.2394,0.9108,0.5922,0.8431,441.8114,48.1944,12.1992,402.7836,-84.4914,365.4129,1.2561,5.5511
105,105,105,0.3457,0.1101,0.7771,0.895,0.7629,0.5706,396.0376,44.0818,4.6892,282.8125,-84.9532,258.4869,2.2676,6.975
106,106,106,0.5627,0.4095,0.0703,0.5018,0.5444,0.5887,424.3233,47.7157,9.6906,381.7237,-84.2788,343.7329,1.1282,4.7999
107,107,107,0.9171,0.2641,0.5037,0.446,0.7867,0.9105,467.464,51.263,4.0905,306.1096,-83.6908,273.9965,1.3587,5.1702
108,108,108,0.8215,0.9863,0.7551,0.3438,0.5657,0.5555,456.5503,50.6659,14.8571,399.3294,-83.845,350.6208,1.1356,5.516
109,109,109,0.9402,0.6098,0.7033,0.0947,0.9436,0.008,472.2847,51.5625,14.2704,399.2548,-84.3469,352.3841,1.1116,5.518
110,110,110,0.9723,0.2246,0.124,0.7687,0.8808,0.8119,475.418,50.726,4.7342,324.3424,-84.4513,295.8319,1.3326,4.8494
111,111,111,0.7868,0.1476,0.3917,0.1495,0.4796,0.6072,451.6067,50.9091,6.0745,323.2722,-83.516,285.4847,1.2249,6.0853
112,112,112,0.0021,0.5408,0.2901,0.3776,0.7681,0.4455,345.5161,40.5108,11.1589,395.2983,-84.2256,353.1328,1.1325,5.6268
113,113,113,0.0054,0.8,0.4169,0.4129,0.4437,0.2689,346.4734,40.4544,16.5688,428.2812,-84.488,378.307,1.164,4.8335
