,Unnamed: 0,Unnamed: 0.1,G_Na,G_si,G_K,G_K1,G_Kp,G_b,max_voltage_gradient,max_voltage,dome_voltage,APD90,rest_voltage,APD50,APDr_slope,min_di
154,154,154,0.8884,0.6943,0.7302,0.1718,0.8859,0.8944,462.3651,51.8161,8.4267,353.68,-82.8964,309.6936,1.1422,5.4166
155,155,155,0.9652,0.7312,0.0303,0.1302,0.017,0.0303,475.3548,51.9644,21.5655,501.1521,-84.2947,429.4817,1.2039,5.4342
156,156,156,0.141,0.9104,0.6694,0.9073,0.4073,0.1156,367.6903,41.2853,19.1623,412.1627,-85.3665,371.1019,1.3815,6.6089
157,157,157,0.3639,0.0608,0.5868,0.4976,0.0533,0.8774,396.8588,45.8584,2.9709,275.2601,-83.8898,246.2613,2.0023,7.1411
158,158,158,0.995,0.3037,0.7176,0.831,0.5379,0.4116,479.4131,50.4449,9.1985,318.9067,-85.0426,290.5507,1.4775,6.1813
159,159,159,0.6397,0.0039,0.9547,0.8145,0.521,0.4001,435.6086,47.3969,5.1745,270.3435,-85.0892,246.352,1.9419,7.2492
160,160,160,0.9379,0.8074,0.3355,0.1956,0.7433,0.9644,468.0563,52.2163,9.8522,395.8808,-82.8164,347.2355,0.9319,5.6108
161,161,161,0.483,0.503,0.2475,0.255,0.1477,0.7512,412.3637,47.9714,10.472,373.6805,-83.4431,328.7605,1.0075,4.9768
162,162,162,0.028,0.3376,0.8511,0.0824,0.5782,0.9809,346.1233,42.5702,4.2883,303.6756,-82.5349,263.5967,1.7428,6.5162
163,163,163,0.6244,0.21,0.7697,0.6366,0.4216,0.2211,433.7965,47.5879,10.0812,319.1018,-85.0652,288.6307,1.4735,6.177
164,164,164,0.2229,0.527,0.4037,0.7822,0.8622,0.079,379.5128,42.4596,13.6301,397.6029,-85.3708,362.538,1.3453,5.5635
165,165,165,0.5269,0.2753,0.0867,0.5376,0.6117,0.3629,420.482,46.9499,9.8224,376.394,-84.7103,340.277,1.159,4.9171
166,166,166,0.7101,0.0775,0.5393,0.0434,0.2975,0.4899,442.0206,50.5198,6.5087,313.6999,-83.4569,275.3906,1.2384,5.0366
167,167,167,0.6089,0.0978,0.1668,0.987,0.293,0.5484,431.4766,46.8759,6.8645,317.2793,-85.1031,291.5404,1.435,6.2171
168,168,168,0.5882,0.0711,0.5081,0.5304,0.1776,0.9793,426.5691,48.3643,1.9191,273.5803,-83.8003,245.449,1.8852,7.178
169,169,169,0.4237,0.3763,0.2962,0.3566,0.9647,0.4777,405.7739,46.3804,8.6192,368.2732,-84.1763,330.1917,1.0485,6.3697
170,170,170,0.2385,0.1328,0.2717,0.1803,0.2129,0.3821,380.0963,44.6905,8.9508,345.4966,-84.0133,306.0023,1.2799,5.5966
171,171,171,0.4041,0.4147,0.6981,0.6595,0.0952,0.996,402.3759,46.0004,6.7501,305.0071,-83.9582,272.5767,1.6112,8.1087
172,172,172,0.0249,0.9046,0.4785,0.5974,0.3061,0.2579,349.8295,40.3464,18.4411,429.6839,-84.7806,380.9861,1.2783,5.9925
173,173,173,0.6128,0.331,0.7483,0.7594,0.7064,0.6673,431.163,47.5084,6.8249,308.1005,-84.6001,279.2534,1.5451,6.4189
174,174,174,0.9838,0.1167,0.1754,0.1673,0.6562,0.9704,473.6656,52.5596,2.2134,308.2878,-82.9043,273.058,1.2072,5.1319
175,175,175,0.1157,0.5748,0.6377,0.3866,0.6412,0.6755,361.7102,42.5319,9.6905,353.9006,-83.8614,314.3234,1.3606,6.7647
176,176,176,0.0524,0.8672,0.0428,0.1643,0.0008,0.3023,352.7907,42.1449,19.9445,498.7336,-83.8537,425.9139,1.126,5.5672
177,177,177,0.9054,0.3264,0.7627,0.8261,0.3211,0.5205,468.4161,49.9229,9.1868,312.5131,-84.888,283.3924,1.4992,6.3219
178,178,178,0.2401,0.0344,0.6403,0.363,0.8951,0.0047,381.7815,43.5382,8.3426,325.2267,-85.0393,292.8528,1.4367,4.8339
179,179,179,0.0171,0.1589,0.9289,0.2855,0.2344,0.886,346.0354,41.5893,3.3752,277.1646,-83.3592,244.7298,2.5418,8.874
180,180,180,0.7844,0.0859,0.0906,0.0085,0.588,0.3933,451.6046,51.0694,7.2646,358.0277,-83.5588,316.6957,1.017,6.6513
181,181,181,0.1504,0.7293,0.8849,0.8047,0.2075,0.3089,368.6726,41.7951,16.0764,363.7173,-85.0487,326.4883,1.2846,6.4949
182,182,182,0.897,0.4256,0.4533,0.5289,0.0837,0.9259,465.3404,51.129,7.94,326.8941,-83.8076,291.6124,1.3487,6.0057
183,183,183,0.1106,0.6554,0.5812,0.5596,0.3598,0.4333,362.1265,41.8414,13.7381,377.7536,-84.5418,337.5605,1.2123,6.1091
184,184,184,0.3229,0.6849,0.2783,0.8552,0.8051,0.2992,393.2459,43.7616,13.7682,414.1584,-85.1393,377.3379,1.222,5.231
185,185,185,0.592,0.5781,0.0619,0.7249,0.9814,0.0599,429.9079,46.799,14.2501,450.0379,-85.3112,410.5662,1.2818,4.2211
186,186,186,0.5746,0.6192,0.8277,0.6894,0.8693,0.5652,426.2512,47.2122,10.1395,344.27,-84.574,310.2713,1.4152,7.0295
187,187,187,0.6504,0.8773,0.1349,0.1899,0.0493,0.1366,436.1502,49.2762,21.5236,495.3136,-84.1947,425.099,1.1882,5.7552
188,188,188,0.6418,0.6495,0.307,0.5739,0.2715,0.0457,436.3216,47.8561,18.4171,429.8021,-85.1119,384.1729,1.279,4.7906
189,189,189,0.4145,0.8748,0.592,0.9549,0.1631,0.5603,405.45,45.0195,15.8635,385.7141,-84.8936,347.556,1.3425,5.8902
190,190,190,0.1465,0.4403,0.9868,0.6168,0.2296,0.2916,367.9473,42.1267,12.6783,329.4546,-84.8817,294.3942,1.5922,7.4367
191,191,191,0.748,0.1501,0.4833,0.8074,0.9879,0.3404,449.3638,48.2607,6.9438,320.4349,-85.1421,293.0711,1.4523,6.1477
192,192,192,0.2346,0.0682,0.9775,0.9738,0.5343,0.7337,380.022,42.6491,2.8284,258.4391,-84.8488,235.5387,2.1121,9.3888
193,193,193,0.6489,0.6968,0.2015,0.884,0.716,0.8456,435.5017,47.7389,9.99,381.3513,-84.4895,346.5833,1.1984,4.8081
194,194,194,0.8588,0.2897,0.3556,0.2245,0.8453,0.3304,461.8331,50.8942,9.1249,363.4828,-84.1648,324.5886,1.0383,6.5013
195,195,195,0.0939,0.664,0.6797,0.0532,0.11,0.9685,355.5954,43.9177,9.8442,353.8019,-82.3656,304.7588,1.3011,5.414
196,196,196,0.9865,0.6348,0.0545,0.465,0.9067,0.9396,475.555,51.7405,8.2877,391.7518,-83.6149,351.3083,1.0241,5.7243
197,197,197,0.0462,0.5227,0.7218,0.022,0.0616,0.1812,351.9766,42.3026,15.8999,376.7477,-83.859,326.7082,1.1045,6.1367
198,198,198,0.8073,0.7092,0.3762,0.4826,0.7137,0.7646,454.6241,50.261,10.4957,383.1784,-83.8969,341.934,1.0943,4.768
199,199,199,0.8122,0.495,0.7701,0.9385,0.6808,0.6264,456.7065,48.8816,9.0591,324.8774,-84.869,296.2945,1.5103,7.5625
